Rank,Team,GM,W-L,3FG,3FGA
1,Savannah St. (MEAC) ,31,15-16 ,383,1272
2,The Citadel (SoCon) ,32,11-21 ,386,1133
3,Belmont (OVC) ,33,24-9 ,378,1005
4,Elon (CAA) ,32,14-18 ,337,966
5,USC Upstate (ASUN) ,32,7-25 ,328,952
6,Furman (SoCon) ,33,23-10 ,338,950
7,North Florida (ASUN) ,33,14-19 ,357,945
8,UNCG (SoCon) ,34,27-7 ,328,915
9,New Mexico (MWC) ,31,17-14 ,345,914
10,Central Mich. (MAC) ,32,19-13 ,306,900
11,South Dakota St. (Summit League) ,34,28-6 ,361,896
12,Fairfield (MAAC) ,33,17-16 ,303,893
12,Quinnipiac (MAAC) ,33,12-21 ,303,893
14,Fort Wayne (Summit League) ,32,18-14 ,328,892
15,Villanova (Big East) ,31,27-4 ,350,887
16,Washington St. (Pac-12) ,30,12-18 ,334,883
16,Illinois St. (MVC) ,33,18-15 ,301,883
18,Marshall (C-USA) ,31,21-10 ,308,882
19,UTSA (C-USA) ,31,18-13 ,320,877
20,UMBC (America East) ,33,23-10 ,336,872
21,Coppin St. (MEAC) ,32,5-27 ,265,869
22,Michigan (Big Ten) ,35,28-7 ,320,868
23,Creighton (Big East) ,31,21-10 ,328,866
24,Cleveland St. (Horizon) ,35,12-23 ,294,863
25,Mt. St. Mary's (NEC) ,32,18-14 ,323,853
26,Canisius (MAAC) ,32,21-11 ,297,845
27,Wofford (SoCon) ,33,21-12 ,342,834
28,Wyoming (MWC) ,31,19-12 ,285,827
29,Portland St. (Big Sky) ,31,19-12 ,285,826
29,Akron (MAC) ,31,14-17 ,296,826
29,Gonzaga (WCC) ,34,30-4 ,309,826
32,UMKC (WAC) ,31,10-21 ,277,823
32,Miami (OH) (MAC) ,32,16-16 ,279,823
34,Iona (MAAC) ,33,20-13 ,319,822
35,Auburn (SEC) ,31,25-6 ,304,819
35,Buffalo (MAC) ,31,23-8 ,302,819
37,Rice (C-USA) ,31,7-24 ,260,818
38,Troy (Sun Belt) ,31,15-16 ,281,817
39,Appalachian St. (Sun Belt) ,31,14-17 ,277,816
40,Detroit Mercy (Horizon) ,32,8-24 ,281,815
41,Green Bay (Horizon) ,33,13-20 ,295,813
42,San Francisco (WCC) ,33,18-15 ,272,812
43,Colgate (Patriot) ,31,19-12 ,293,810
44,Marquette (Big East) ,30,18-12 ,335,806
45,Davidson (Atlantic 10) ,29,18-11 ,309,804
45,Northeastern (CAA) ,33,23-10 ,302,804
47,Marist (MAAC) ,31,6-25 ,280,802
48,Northern Colo. (Big Sky) ,32,21-11 ,277,799
49,Vanderbilt (SEC) ,31,12-19 ,281,796
49,Utah St. (MWC) ,31,15-16 ,289,796
51,Oregon (Pac-12) ,31,20-11 ,281,794
52,Winthrop (Big South) ,31,19-12 ,296,792
53,Oklahoma (Big 12) ,30,18-12 ,287,789
53,LIU Brooklyn (NEC) ,34,18-16 ,272,789
55,Lipscomb (ASUN) ,32,23-9 ,260,785
56,St. Francis Brooklyn (NEC) ,31,13-18 ,271,783
57,Kansas (Big 12) ,31,24-7 ,311,782
57,Oakland (Horizon) ,33,19-14 ,275,782
57,West Virginia (Big 12) ,31,22-9 ,273,782
60,North Dakota St. (Summit League) ,32,15-17 ,294,778
61,William & Mary (CAA) ,31,19-12 ,337,777
62,Chattanooga (SoCon) ,33,10-23 ,276,776
62,Purdue (Big Ten) ,34,28-6 ,326,776
62,Nevada (MWC) ,32,26-6 ,311,776
62,New Hampshire (America East) ,31,10-21 ,252,776
66,Samford (SoCon) ,32,10-22 ,289,774
67,Presbyterian (Big South) ,32,11-21 ,276,772
67,Howard (MEAC) ,33,10-23 ,268,772
69,Army West Point (Patriot) ,30,13-17 ,295,771
70,Seattle U (WAC) ,31,19-12 ,281,769
71,Princeton (Ivy League) ,29,13-16 ,287,767
72,Hartford (America East) ,32,19-13 ,261,763
73,Pittsburgh (ACC) ,31,8-23 ,249,762
74,Penn (Ivy League) ,30,22-8 ,265,761
75,Boston College (ACC) ,32,18-14 ,275,758
76,Stony Brook (America East) ,32,13-19 ,249,757
76,Ole Miss (SEC) ,31,12-19 ,240,757
76,Fordham (Atlantic 10) ,30,9-21 ,218,757
79,Bucknell (Patriot) ,33,24-9 ,256,756
79,South Ala. (Sun Belt) ,31,14-17 ,248,756
81,Bryant (NEC) ,31,3-28 ,259,755
82,Georgia St. (Sun Belt) ,31,21-10 ,291,754
82,Boise St. (MWC) ,30,23-7 ,289,754
84,UT Arlington (Sun Belt) ,31,19-12 ,273,753
85,Drake (MVC) ,32,16-16 ,278,752
85,Radford (Big South) ,34,22-12 ,263,752
85,Eastern Wash. (Big Sky) ,31,18-13 ,282,752
88,Missouri (SEC) ,31,20-11 ,290,750
88,Saint Peter's (MAAC) ,32,14-18 ,253,750
90,Indiana St. (MVC) ,31,13-18 ,270,749
91,Toledo (MAC) ,31,21-10 ,304,748
92,Florida (SEC) ,31,20-11 ,279,746
93,Maine (America East) ,32,6-26 ,225,745
93,Ga. Southern (Sun Belt) ,31,20-11 ,258,745
95,Wagner (NEC) ,32,23-9 ,263,739
95,Bethune-Cookman (MEAC) ,31,18-13 ,240,739
97,Southeast Mo. St. (OVC) ,31,14-17 ,289,738
98,Niagara (MAAC) ,32,19-13 ,269,737
