Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Grand Canyon (WAC) ,30,20-10 ,499,135,27.1
2,Penn (Ivy League) ,30,22-8 ,590,173,29.3
3,Kentucky (SEC) ,31,21-10 ,795,236,29.7
4,San Diego (WCC) ,31,18-13 ,484,144,29.8
5,Northeastern (CAA) ,33,23-10 ,529,158,29.9
6,Virginia (ACC) ,30,28-2 ,599,179,29.9
7,Middle Tenn. (C-USA) ,30,24-6 ,585,176,30.1
8,South Ala. (Sun Belt) ,32,14-18 ,701,214,30.5
9,Murray St. (OVC) ,31,26-5 ,638,195,30.6
10,Sam Houston St. (Southland) ,31,18-13 ,722,221,30.6
11,New Mexico St. (WAC) ,30,25-5 ,645,198,30.7
12,St. Bonaventure (Atlantic 10) ,30,24-6 ,709,218,30.7
13,Northern Ky. (Horizon) ,31,22-9 ,644,199,30.9
14,Cincinnati (AAC) ,31,27-4 ,638,198,31
15,Nevada (MWC) ,32,26-6 ,768,239,31.1
16,Illinois St. (MVC) ,33,18-15 ,771,240,31.1
17,Green Bay (Horizon) ,33,13-20 ,811,253,31.2
18,Jacksonville (ASUN) ,33,15-18 ,790,247,31.3
19,Valparaiso (MVC) ,32,15-17 ,612,192,31.4
20,Alabama (SEC) ,31,17-14 ,668,210,31.4
21,Boise St. (MWC) ,30,23-7 ,637,201,31.6
22,NC State (ACC) ,32,21-11 ,608,192,31.6
23,Texas St. (Sun Belt) ,32,15-17 ,671,212,31.6
24,Furman (SoCon) ,33,23-10 ,708,224,31.6
25,Tennessee (SEC) ,30,23-7 ,606,192,31.7
26,UNCG (SoCon) ,34,27-7 ,705,224,31.8
27,Grambling (SWAC) ,31,17-14 ,657,209,31.8
28,Temple (AAC) ,30,16-14 ,644,205,31.8
29,ETSU (SoCon) ,34,25-9 ,783,250,31.9
30,Utah Valley (WAC) ,30,21-9 ,626,200,31.9
31,Rutgers (Big Ten) ,34,15-19 ,722,231,32
32,Ga. Southern (Sun Belt) ,31,20-11 ,703,225,32
33,Texas Tech (Big 12) ,31,23-8 ,654,210,32.1
34,Nebraska (Big Ten) ,32,22-10 ,579,186,32.1
35,Ark.-Pine Bluff (SWAC) ,32,13-20 ,637,205,32.2
36,N.C. A&T (MEAC) ,32,19-13 ,673,217,32.2
37,Ohio (MAC) ,31,14-17 ,772,249,32.3
38,Saint Mary's (CA) (WCC) ,33,28-5 ,551,178,32.3
39,Weber St. (Big Sky) ,30,20-10 ,585,189,32.3
40,Rhode Island (Atlantic 10) ,29,23-6 ,451,146,32.4
41,Providence (Big East) ,31,19-12 ,660,214,32.4
42,Texas A&M (SEC) ,31,20-11 ,734,238,32.4
43,Texas (Big 12) ,32,19-13 ,669,217,32.4
44,Miami (OH) (MAC) ,32,16-16 ,696,226,32.5
45,South Dakota (Summit League) ,34,26-8 ,760,247,32.5
46,LIU Brooklyn (NEC) ,34,18-16 ,726,236,32.5
47,Duke (ACC) ,31,25-6 ,732,238,32.5
48,Tennessee Tech (OVC) ,33,19-14 ,747,243,32.5
49,Jacksonville St. (OVC) ,33,21-12 ,765,249,32.5
50,Villanova (Big East) ,31,27-4 ,656,214,32.6
51,Kennesaw St. (ASUN) ,30,10-20 ,613,200,32.6
52,Missouri (SEC) ,31,20-11 ,665,217,32.6
53,Canisius (MAAC) ,32,21-11 ,625,204,32.6
54,South Fla. (AAC) ,31,10-21 ,646,211,32.7
55,Longwood (Big South) ,33,7-26 ,805,263,32.7
56,Northern Colo. (Big Sky) ,32,21-11 ,477,156,32.7
57,UC Irvine (Big West) ,32,16-16 ,639,209,32.7
58,Kansas St. (Big 12) ,31,21-10 ,660,216,32.7
59,Houston (AAC) ,30,24-6 ,617,202,32.7
