Rank,Team,GM,W-L,3FG,3PG
1,Savannah St. (MEAC) ,31,15-16 ,383,12.4
2,The Citadel (SoCon) ,32,11-21 ,386,12.1
3,Belmont (OVC) ,33,24-9 ,378,11.5
4,Villanova (Big East) ,31,27-4 ,350,11.3
5,New Mexico (MWC) ,31,17-14 ,345,11.1
6,Marquette (Big East) ,31,19-12 ,343,11.1
7,Washington St. (Pac-12) ,31,12-19 ,341,11
8,William & Mary (CAA) ,31,19-12 ,337,10.9
9,North Florida (ASUN) ,33,14-19 ,357,10.8
10,Davidson (Atlantic 10) ,29,18-11 ,309,10.7
11,South Dakota St. (Summit League) ,34,28-6 ,361,10.6
12,Creighton (Big East) ,31,21-10 ,328,10.6
13,Elon (CAA) ,32,14-18 ,337,10.5
14,Wofford (SoCon) ,33,21-12 ,342,10.4
15,USC Upstate (ASUN) ,32,7-25 ,328,10.3
15,Fort Wayne (Summit League) ,32,18-14 ,328,10.3
17,Furman (SoCon) ,33,23-10 ,338,10.2
18,UTSA (C-USA) ,32,19-13 ,327,10.2
19,UMBC (America East) ,33,23-10 ,336,10.2
20,Mt. St. Mary's (NEC) ,32,18-14 ,323,10.1
21,Kansas (Big 12) ,31,24-7 ,311,10
22,Columbia (Ivy League) ,27,8-19 ,269,10
23,Marshall (C-USA) ,31,21-10 ,308,9.9
24,Princeton (Ivy League) ,29,13-16 ,287,9.9
25,Army West Point (Patriot) ,30,13-17 ,295,9.8
26,Auburn (SEC) ,31,25-6 ,304,9.8
26,Toledo (MAC) ,31,21-10 ,304,9.8
28,Lehigh (Patriot) ,30,16-14 ,293,9.8
29,Buffalo (MAC) ,31,23-8 ,302,9.7
30,Nevada (MWC) ,32,26-6 ,311,9.7
31,Iona (MAAC) ,33,20-13 ,319,9.7
32,UNCG (SoCon) ,34,27-7 ,328,9.6
33,Boise St. (MWC) ,30,23-7 ,289,9.6
34,Purdue (Big Ten) ,34,28-6 ,326,9.6
35,Central Mich. (MAC) ,32,19-13 ,306,9.6
36,Oklahoma (Big 12) ,31,18-13 ,296,9.5
36,Akron (MAC) ,31,14-17 ,296,9.5
36,Winthrop (Big South) ,31,19-12 ,296,9.5
39,Georgia St. (Sun Belt) ,31,21-10 ,291,9.4
40,Missouri (SEC) ,31,20-11 ,290,9.4
41,Colgate (Patriot) ,32,19-13 ,299,9.3
42,Southeast Mo. St. (OVC) ,31,14-17 ,289,9.3
43,Canisius (MAAC) ,32,21-11 ,297,9.3
44,UCLA (Pac-12) ,30,20-10 ,278,9.3
45,Utah St. (MWC) ,32,16-16 ,296,9.3
46,Wichita St. (AAC) ,30,24-6 ,277,9.2
47,Wyoming (MWC) ,32,20-12 ,295,9.2
48,Weber St. (Big Sky) ,30,20-10 ,276,9.2
49,North Dakota St. (Summit League) ,32,15-17 ,294,9.2
50,Fairfield (MAAC) ,33,17-16 ,303,9.2
50,Quinnipiac (MAAC) ,33,12-21 ,303,9.2
52,Utah (Pac-12) ,29,19-10 ,266,9.2
53,Northeastern (CAA) ,33,23-10 ,302,9.2
54,Michigan (Big Ten) ,35,28-7 ,320,9.1
55,Campbell (Big South) ,31,16-15 ,283,9.1
56,Illinois St. (MVC) ,33,18-15 ,301,9.1
57,Eastern Wash. (Big Sky) ,31,18-13 ,282,9.1
58,Gonzaga (WCC) ,34,30-4 ,309,9.1
59,Seattle U (WAC) ,31,19-12 ,281,9.1
60,Portland St. (Big Sky) ,32,20-12 ,290,9.1
61,La.-Monroe (Sun Belt) ,30,16-14 ,271,9
62,Marist (MAAC) ,31,6-25 ,280,9
63,Samford (SoCon) ,32,10-22 ,289,9
63,Appalachian St. (Sun Belt) ,32,15-17 ,289,9
63,Oregon (Pac-12) ,32,21-11 ,289,9
63,Vanderbilt (SEC) ,32,12-20 ,289,9
67,Florida (SEC) ,31,20-11 ,279,9
68,Troy (Sun Belt) ,32,16-16 ,287,9
69,Green Bay (Horizon) ,33,13-20 ,295,8.9
70,Arizona St. (Pac-12) ,31,20-11 ,277,8.9
70,UMKC (WAC) ,31,10-21 ,277,8.9
72,Idaho (Big Sky) ,30,22-8 ,268,8.9
73,Massachusetts (Atlantic 10) ,32,13-19 ,284,8.9
74,Houston (AAC) ,30,24-6 ,266,8.9
75,Penn (Ivy League) ,30,22-8 ,265,8.8
76,West Virginia (Big 12) ,31,22-9 ,273,8.8
76,UT Arlington (Sun Belt) ,31,19-12 ,273,8.8
78,Cal Poly (Big West) ,30,9-21 ,264,8.8
79,Detroit Mercy (Horizon) ,32,8-24 ,281,8.8
80,Virginia Tech (ACC) ,32,21-11 ,280,8.8
81,St. Francis Brooklyn (NEC) ,31,13-18 ,271,8.7
82,Miami (OH) (MAC) ,32,16-16 ,279,8.7
83,Louisiana (Sun Belt) ,31,26-5 ,270,8.7
83,Indiana St. (MVC) ,31,13-18 ,270,8.7
85,Drake (MVC) ,32,16-16 ,278,8.7
86,Northern Colo. (Big Sky) ,32,21-11 ,277,8.7
86,Louisiana Tech (C-USA) ,32,17-15 ,277,8.7
88,Presbyterian (Big South) ,32,11-21 ,276,8.6
89,Notre Dame (ACC) ,33,20-13 ,284,8.6
90,SMU (AAC) ,31,16-15 ,266,8.6
91,Boston College (ACC) ,33,19-14 ,282,8.5
92,Mercer (SoCon) ,32,18-14 ,273,8.5
93,TCU (Big 12) ,31,21-10 ,264,8.5
