Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,William & Mary (CAA) ,31,19-12 ,337,777,43.4
2,Purdue (Big Ten) ,34,28-6 ,326,776,42
3,Weber St. (Big Sky) ,30,20-10 ,276,658,41.9
4,Marquette (Big East) ,31,19-12 ,343,826,41.5
5,Michigan St. (Big Ten) ,33,29-4 ,277,671,41.3
6,Idaho (Big Sky) ,30,22-8 ,268,651,41.2
7,Evansville (MVC) ,32,17-15 ,184,448,41.1
8,Wofford (SoCon) ,33,21-12 ,342,834,41
9,Toledo (MAC) ,31,21-10 ,304,748,40.6
10,Lehigh (Patriot) ,30,16-14 ,293,721,40.6
11,Saint Mary's (CA) (WCC) ,33,28-5 ,255,631,40.4
12,South Dakota St. (Summit League) ,34,28-6 ,361,896,40.3
13,Vermont (America East) ,33,27-6 ,253,628,40.3
14,Arkansas (SEC) ,31,21-10 ,247,614,40.2
15,Nevada (MWC) ,32,26-6 ,311,776,40.1
16,Denver (Summit League) ,30,15-15 ,211,527,40
17,TCU (Big 12) ,31,21-10 ,264,660,40
18,Manhattan (MAAC) ,31,14-17 ,239,598,40
19,Fresno St. (MWC) ,31,21-10 ,213,534,39.9
20,Loyola Chicago (MVC) ,33,28-5 ,246,618,39.8
21,Kansas (Big 12) ,31,24-7 ,311,782,39.8
22,St. Bonaventure (Atlantic 10) ,30,24-6 ,228,574,39.7
23,Massachusetts (Atlantic 10) ,32,13-19 ,284,716,39.7
24,Idaho St. (Big Sky) ,30,14-16 ,252,637,39.6
25,Villanova (Big East) ,31,27-4 ,350,887,39.5
26,Southeast Mo. St. (OVC) ,31,14-17 ,289,738,39.2
27,UNC Asheville (Big South) ,33,21-12 ,263,672,39.1
28,Houston (AAC) ,30,24-6 ,266,680,39.1
29,Virginia (ACC) ,30,28-2 ,222,570,38.9
30,Monmouth (MAAC) ,31,11-20 ,223,574,38.9
31,Iona (MAAC) ,33,20-13 ,319,822,38.8
32,Utah Valley (WAC) ,30,21-9 ,239,617,38.7
33,Mercer (SoCon) ,32,18-14 ,273,705,38.7
34,Missouri (SEC) ,31,20-11 ,290,750,38.7
35,Wichita St. (AAC) ,30,24-6 ,277,717,38.6
36,Georgia St. (Sun Belt) ,31,21-10 ,291,754,38.6
37,UCLA (Pac-12) ,30,20-10 ,278,721,38.6
38,UMBC (America East) ,33,23-10 ,336,872,38.5
39,Virginia Tech (ACC) ,32,21-11 ,280,727,38.5
40,Campbell (Big South) ,31,16-15 ,283,735,38.5
41,Davidson (Atlantic 10) ,29,18-11 ,309,804,38.4
42,Arizona (Pac-12) ,31,24-7 ,217,565,38.4
43,SMU (AAC) ,31,16-15 ,266,693,38.4
44,Penn St. (Big Ten) ,34,21-13 ,252,657,38.4
45,Portland (WCC) ,32,10-22 ,255,665,38.3
46,Boise St. (MWC) ,30,23-7 ,289,754,38.3
47,Army West Point (Patriot) ,30,13-17 ,295,771,38.3
48,UC Santa Barbara (Big West) ,30,22-8 ,240,629,38.2
49,Tennessee (SEC) ,30,23-7 ,233,611,38.1
50,Duke (ACC) ,31,25-6 ,260,685,38
51,Murray St. (OVC) ,31,26-5 ,264,696,37.9
52,Creighton (Big East) ,31,21-10 ,328,866,37.9
53,Mt. St. Mary's (NEC) ,32,18-14 ,323,853,37.9
54,Southern California (Pac-12) ,31,21-10 ,257,679,37.8
55,Louisiana Tech (C-USA) ,32,17-15 ,277,732,37.8
56,North Dakota St. (Summit League) ,32,15-17 ,294,778,37.8
57,North Florida (ASUN) ,33,14-19 ,357,945,37.8
58,New Mexico (MWC) ,31,17-14 ,345,914,37.7
59,Washington St. (Pac-12) ,31,12-19 ,341,905,37.7
60,Belmont (OVC) ,33,24-9 ,378,1005,37.6
61,Northeastern (CAA) ,33,23-10 ,302,804,37.6
62,Hofstra (CAA) ,31,19-12 ,260,693,37.5
63,Eastern Wash. (Big Sky) ,31,18-13 ,282,752,37.5
63,Iowa (Big Ten) ,33,14-19 ,252,672,37.5
65,UC Davis (Big West) ,30,21-9 ,195,521,37.4
66,Wake Forest (ACC) ,31,11-20 ,241,644,37.4
67,Princeton (Ivy League) ,29,13-16 ,287,767,37.4
68,Gonzaga (WCC) ,34,30-4 ,309,826,37.4
69,Florida (SEC) ,31,20-11 ,279,746,37.4
70,Winthrop (Big South) ,31,19-12 ,296,792,37.4
71,Liberty (Big South) ,34,20-14 ,275,736,37.4
72,Samford (SoCon) ,32,10-22 ,289,774,37.3
73,SFA (Southland) ,31,25-6 ,218,584,37.3
74,Stanford (Pac-12) ,31,17-14 ,206,552,37.3
75,Boston U. (Patriot) ,31,15-16 ,229,614,37.3
76,NC State (ACC) ,32,21-11 ,252,677,37.2
77,Xavier (Big East) ,31,27-4 ,244,656,37.2
78,Saint Francis (PA) (NEC) ,30,18-12 ,243,654,37.2
79,Lafayette (Patriot) ,31,10-21 ,263,708,37.1
80,Auburn (SEC) ,31,25-6 ,304,819,37.1
81,Maryland (Big Ten) ,32,19-13 ,229,617,37.1
82,Notre Dame (ACC) ,33,20-13 ,284,766,37.1
83,Clemson (ACC) ,30,22-8 ,249,673,37
84,North Carolina (ACC) ,32,23-9 ,267,722,37
85,Drake (MVC) ,32,16-16 ,278,752,37
86,Ohio (MAC) ,31,14-17 ,244,661,36.9
87,Buffalo (MAC) ,31,23-8 ,302,819,36.9
88,Michigan (Big Ten) ,35,28-7 ,320,868,36.9
89,Louisville (ACC) ,32,20-12 ,247,670,36.9
90,Fort Wayne (Summit League) ,32,18-14 ,328,892,36.8
