Rank,Team,GM,W-L,AST,TO,Ratio
1,Davidson (Atlantic 10) ,29,18-11 ,489,284,1.72
2,Nevada (MWC) ,32,26-6 ,525,322,1.63
3,Wichita St. (AAC) ,30,24-6 ,564,346,1.63
4,Villanova (Big East) ,31,27-4 ,523,322,1.62
5,Creighton (Big East) ,31,21-10 ,560,345,1.62
6,Michigan (Big Ten) ,35,28-7 ,518,320,1.62
7,Saint Mary's (CA) (WCC) ,33,28-5 ,515,321,1.6
8,Purdue (Big Ten) ,34,28-6 ,568,363,1.56
9,Virginia (ACC) ,30,28-2 ,409,264,1.55
10,Southern California (Pac-12) ,31,21-10 ,495,325,1.52
11,Southern Miss. (C-USA) ,31,14-17 ,456,301,1.51
12,TCU (Big 12) ,31,21-10 ,587,392,1.5
13,North Carolina (ACC) ,31,22-9 ,560,380,1.47
14,Michigan St. (Big Ten) ,33,29-4 ,638,435,1.47
15,UC Santa Barbara (Big West) ,30,22-8 ,457,312,1.46
16,Old Dominion (C-USA) ,30,24-6 ,458,313,1.46
17,Kansas (Big 12) ,31,24-7 ,528,361,1.46
18,William & Mary (CAA) ,31,19-12 ,548,382,1.43
19,Notre Dame (ACC) ,31,18-13 ,444,312,1.42
20,Duke (ACC) ,31,25-6 ,544,388,1.4
21,Saint Joseph's (Atlantic 10) ,30,15-15 ,417,298,1.4
22,Rhode Island (Atlantic 10) ,29,23-6 ,439,314,1.4
23,Gonzaga (WCC) ,34,30-4 ,535,384,1.39
24,Virginia Tech (ACC) ,31,21-10 ,513,372,1.38
25,Cincinnati (AAC) ,31,27-4 ,500,363,1.38
26,Furman (SoCon) ,33,23-10 ,526,382,1.38
27,Iona (MAAC) ,33,20-13 ,526,385,1.37
28,Iowa (Big Ten) ,33,14-19 ,602,441,1.37
29,Toledo (MAC) ,31,21-10 ,496,364,1.36
30,Elon (CAA) ,32,14-18 ,507,373,1.36
31,South Dakota St. (Summit League) ,34,28-6 ,459,340,1.35
32,West Virginia (Big 12) ,31,22-9 ,471,349,1.35
33,Arkansas (SEC) ,31,21-10 ,464,344,1.35
34,Stetson (ASUN) ,32,12-20 ,471,350,1.35
35,Northern Ky. (Horizon) ,31,22-9 ,512,384,1.33
36,Portland St. (Big Sky) ,31,19-12 ,520,392,1.33
37,Marquette (Big East) ,30,18-12 ,481,363,1.33
38,BYU (WCC) ,34,24-10 ,520,393,1.32
39,Minnesota (Big Ten) ,32,15-17 ,467,353,1.32
40,NC State (ACC) ,31,21-10 ,500,378,1.32
41,Buffalo (MAC) ,31,23-8 ,529,400,1.32
42,Xavier (Big East) ,31,27-4 ,519,393,1.32
43,Richmond (Atlantic 10) ,30,11-19 ,458,347,1.32
44,Florida (SEC) ,31,20-11 ,402,305,1.32
45,Penn (Ivy League) ,30,22-8 ,468,356,1.31
46,Tennessee (SEC) ,30,23-7 ,481,366,1.31
47,Oregon (Pac-12) ,31,20-11 ,486,372,1.31
48,UAB (C-USA) ,31,19-12 ,533,410,1.3
49,Louisiana (Sun Belt) ,31,26-5 ,544,419,1.3
50,Belmont (OVC) ,33,24-9 ,529,410,1.29
51,Arizona St. (Pac-12) ,30,20-10 ,424,329,1.29
52,Loyola Chicago (MVC) ,33,28-5 ,520,404,1.29
53,Ole Miss (SEC) ,31,12-19 ,453,352,1.29
54,Utah (Pac-12) ,29,19-10 ,451,351,1.28
55,Canisius (MAAC) ,32,21-11 ,542,422,1.28
56,Marshall (C-USA) ,31,21-10 ,540,421,1.28
57,San Diego St. (MWC) ,29,19-10 ,440,344,1.28
58,Mt. St. Mary's (NEC) ,32,18-14 ,447,351,1.27
59,Oakland (Horizon) ,33,19-14 ,553,435,1.27
60,New Mexico (MWC) ,31,17-14 ,492,390,1.26
61,SMU (AAC) ,31,16-15 ,455,361,1.26
62,Kansas St. (Big 12) ,31,21-10 ,446,354,1.26
63,Yale (Ivy League) ,30,16-14 ,501,398,1.26
64,UMBC (America East) ,33,23-10 ,512,407,1.26
65,UCLA (Pac-12) ,30,20-10 ,456,363,1.26
66,Drake (MVC) ,32,16-16 ,481,383,1.26
67,Ohio St. (Big Ten) ,32,24-8 ,472,378,1.25
68,Butler (Big East) ,31,19-12 ,438,351,1.25
69,Murray St. (OVC) ,31,26-5 ,459,368,1.25
70,Army West Point (Patriot) ,30,13-17 ,501,403,1.24
71,Massachusetts (Atlantic 10) ,31,12-19 ,484,390,1.24
72,Seton Hall (Big East) ,31,21-10 ,492,397,1.24
73,LSU (SEC) ,30,17-13 ,428,346,1.24
74,Arizona (Pac-12) ,31,24-7 ,482,390,1.24
75,Hofstra (CAA) ,31,19-12 ,413,335,1.23
76,Wofford (SoCon) ,33,21-12 ,498,404,1.23
77,Houston (AAC) ,30,24-6 ,461,374,1.23
78,Fort Wayne (Summit League) ,32,18-14 ,470,382,1.23
79,Nebraska (Big Ten) ,32,22-10 ,436,357,1.22
80,Vermont (America East) ,33,27-6 ,445,365,1.22
81,Samford (SoCon) ,32,10-22 ,530,435,1.22
