Rank,Team,GM,W-L,AST,APG
1,Michigan St. (Big Ten) ,33,29-4 ,638,19.3
2,TCU (Big 12) ,31,21-10 ,587,18.9
3,Wichita St. (AAC) ,30,24-6 ,564,18.8
4,Iowa (Big Ten) ,33,14-19 ,602,18.2
5,North Carolina (ACC) ,31,22-9 ,560,18.1
5,Creighton (Big East) ,31,21-10 ,560,18.1
7,William & Mary (CAA) ,31,19-12 ,548,17.7
8,Louisiana (Sun Belt) ,31,26-5 ,544,17.5
8,Duke (ACC) ,31,25-6 ,544,17.5
10,Marshall (C-USA) ,31,21-10 ,540,17.4
11,Georgetown (Big East) ,29,15-14 ,504,17.4
12,UAB (C-USA) ,31,19-12 ,533,17.2
13,Buffalo (MAC) ,31,23-8 ,529,17.1
14,Kansas (Big 12) ,31,24-7 ,528,17
15,Canisius (MAAC) ,32,21-11 ,542,16.9
16,Villanova (Big East) ,31,27-4 ,523,16.9
17,Davidson (Atlantic 10) ,29,18-11 ,489,16.9
18,Portland St. (Big Sky) ,31,19-12 ,520,16.8
19,Oakland (Horizon) ,33,19-14 ,553,16.8
20,Xavier (Big East) ,31,27-4 ,519,16.7
21,Purdue (Big Ten) ,34,28-6 ,568,16.7
22,Army West Point (Patriot) ,30,13-17 ,501,16.7
22,Yale (Ivy League) ,30,16-14 ,501,16.7
24,Samford (SoCon) ,32,10-22 ,530,16.6
25,Virginia Tech (ACC) ,31,21-10 ,513,16.5
26,Central Ark. (Southland) ,31,16-15 ,512,16.5
26,Northern Ky. (Horizon) ,31,22-9 ,512,16.5
28,The Citadel (SoCon) ,32,11-21 ,528,16.5
29,Nevada (MWC) ,32,26-6 ,525,16.4
30,Utah Valley (WAC) ,30,21-9 ,492,16.4
31,UT Arlington (Sun Belt) ,31,19-12 ,506,16.3
32,Grand Canyon (WAC) ,30,20-10 ,489,16.3
33,Cornell (Ivy League) ,27,12-15 ,437,16.2
34,NC State (ACC) ,31,21-10 ,500,16.1
34,UNLV (MWC) ,31,19-12 ,500,16.1
34,Cincinnati (AAC) ,31,27-4 ,500,16.1
37,Marquette (Big East) ,30,18-12 ,481,16
37,Tennessee (SEC) ,30,23-7 ,481,16
39,Belmont (OVC) ,33,24-9 ,529,16
40,Toledo (MAC) ,31,21-10 ,496,16
41,Southern California (Pac-12) ,31,21-10 ,495,16
42,Iona (MAAC) ,33,20-13 ,526,15.9
42,Furman (SoCon) ,33,23-10 ,526,15.9
44,Dayton (Atlantic 10) ,30,14-16 ,477,15.9
45,New Mexico (MWC) ,31,17-14 ,492,15.9
45,Seton Hall (Big East) ,31,21-10 ,492,15.9
47,Northeastern (CAA) ,33,23-10 ,523,15.8
48,Elon (CAA) ,32,14-18 ,507,15.8
49,Bethune-Cookman (MEAC) ,31,18-13 ,491,15.8
49,Savannah St. (MEAC) ,31,15-16 ,491,15.8
51,Texas A&M (SEC) ,31,20-11 ,489,15.8
52,Loyola Chicago (MVC) ,33,28-5 ,520,15.8
53,Gonzaga (WCC) ,34,30-4 ,535,15.7
54,Lipscomb (ASUN) ,32,23-9 ,503,15.7
55,Oregon (Pac-12) ,31,20-11 ,486,15.7
56,Massachusetts (Atlantic 10) ,31,12-19 ,484,15.6
57,Saint Mary's (CA) (WCC) ,33,28-5 ,515,15.6
58,Penn (Ivy League) ,30,22-8 ,468,15.6
59,Utah (Pac-12) ,29,19-10 ,451,15.6
60,Arizona (Pac-12) ,31,24-7 ,482,15.5
61,Tulane (AAC) ,30,14-16 ,466,15.5
62,N.C. Central (MEAC) ,31,16-15 ,481,15.5
63,UMBC (America East) ,33,23-10 ,512,15.5
64,VCU (Atlantic 10) ,31,17-14 ,480,15.5
65,Jacksonville St. (OVC) ,33,21-12 ,510,15.5
66,Wyoming (MWC) ,31,19-12 ,478,15.4
66,UTRGV (WAC) ,31,15-16 ,478,15.4
68,FGCU (ASUN) ,34,23-11 ,524,15.4
69,Houston (AAC) ,30,24-6 ,461,15.4
70,N.C. A&T (MEAC) ,32,19-13 ,491,15.3
71,Florida St. (ACC) ,30,20-10 ,460,15.3
72,BYU (WCC) ,34,24-10 ,520,15.3
73,Richmond (Atlantic 10) ,30,11-19 ,458,15.3
73,Old Dominion (C-USA) ,30,24-6 ,458,15.3
75,UNC Asheville (Big South) ,33,21-12 ,503,15.2
76,Oklahoma (Big 12) ,30,18-12 ,457,15.2
76,UC Santa Barbara (Big West) ,30,22-8 ,457,15.2
78,UNCW (CAA) ,32,11-21 ,487,15.2
79,UCLA (Pac-12) ,30,20-10 ,456,15.2
80,West Virginia (Big 12) ,31,22-9 ,471,15.2
81,San Diego St. (MWC) ,29,19-10 ,440,15.2
82,Rhode Island (Atlantic 10) ,29,23-6 ,439,15.1
83,Oregon St. (Pac-12) ,30,15-15 ,453,15.1
84,Abilene Christian (Southland) ,31,16-15 ,468,15.1
