Rank,Team,GM,W-L,BLKS,BKPG
1,Michigan St. (Big Ten) ,33,29-4 ,243,7.4
2,Ill.-Chicago (Horizon) ,32,17-15 ,224,7
3,Louisville (ACC) ,31,19-12 ,192,6.2
4,Marshall (C-USA) ,31,21-10 ,191,6.2
4,Eastern Mich. (MAC) ,31,20-11 ,191,6.2
6,Alabama (SEC) ,31,17-14 ,180,5.8
6,Texas A&M (SEC) ,31,20-11 ,180,5.8
8,Cincinnati (AAC) ,31,27-4 ,174,5.6
9,Nebraska (Big Ten) ,32,22-10 ,179,5.6
9,Syracuse (ACC) ,32,20-12 ,179,5.6
11,Auburn (SEC) ,31,25-6 ,169,5.5
12,Duke (ACC) ,31,25-6 ,166,5.4
13,Georgia Tech (ACC) ,32,13-19 ,171,5.3
14,St. John's (NY) (Big East) ,31,15-16 ,165,5.3
15,Mississippi St. (SEC) ,31,21-10 ,162,5.2
16,Penn St. (Big Ten) ,34,21-13 ,176,5.2
17,West Virginia (Big 12) ,31,22-9 ,160,5.2
18,Oakland (Horizon) ,33,19-14 ,170,5.2
19,Central Ark. (Southland) ,31,16-15 ,159,5.1
19,Texas (Big 12) ,31,18-13 ,159,5.1
21,Incarnate Word (Southland) ,28,7-21 ,143,5.1
22,Minnesota (Big Ten) ,32,15-17 ,163,5.1
23,Jacksonville St. (OVC) ,33,21-12 ,167,5.1
24,Washington (Pac-12) ,31,20-11 ,156,5
25,Purdue (Big Ten) ,34,28-6 ,171,5
26,Kentucky (SEC) ,31,21-10 ,154,5
26,George Washington (Atlantic 10) ,31,14-17 ,154,5
28,Florida St. (ACC) ,30,20-10 ,149,5
28,Clemson (ACC) ,30,22-8 ,149,5
30,California (Pac-12) ,31,8-23 ,149,4.8
31,Georgia St. (Sun Belt) ,31,21-10 ,148,4.8
32,Arkansas (SEC) ,31,21-10 ,147,4.7
33,Oklahoma (Big 12) ,30,18-12 ,142,4.7
34,Arizona (Pac-12) ,31,24-7 ,146,4.7
34,Florida (SEC) ,31,20-11 ,146,4.7
36,Georgia (SEC) ,30,16-14 ,141,4.7
37,Winthrop (Big South) ,31,19-12 ,144,4.6
38,McNeese (Southland) ,28,11-17 ,128,4.6
39,Tennessee (SEC) ,30,23-7 ,136,4.5
40,Duquesne (Atlantic 10) ,31,16-15 ,140,4.5
40,Saint Louis (Atlantic 10) ,31,16-15 ,140,4.5
42,Oregon (Pac-12) ,31,20-11 ,139,4.5
42,Louisiana (Sun Belt) ,31,26-5 ,139,4.5
44,Eastern Ill. (OVC) ,31,12-19 ,138,4.5
45,Bucknell (Patriot) ,33,24-9 ,146,4.4
46,Niagara (MAAC) ,32,19-13 ,141,4.4
47,Kansas (Big 12) ,31,24-7 ,136,4.4
48,UT Arlington (Sun Belt) ,31,19-12 ,135,4.4
48,North Carolina (ACC) ,31,22-9 ,135,4.4
50,Towson (CAA) ,32,18-14 ,139,4.3
51,Baylor (Big 12) ,31,18-13 ,134,4.3
51,Missouri (SEC) ,31,20-11 ,134,4.3
51,UNLV (MWC) ,31,19-12 ,134,4.3
51,Indiana (Big Ten) ,31,16-15 ,134,4.3
55,Ark.-Pine Bluff (SWAC) ,32,13-20 ,138,4.3
56,ETSU (SoCon) ,34,25-9 ,146,4.3
57,Southern California (Pac-12) ,31,21-10 ,133,4.3
58,Maryland (Big Ten) ,32,19-13 ,137,4.3
59,Texas Tech (Big 12) ,31,23-8 ,132,4.3
60,Northwestern (Big Ten) ,32,15-17 ,136,4.3
61,Binghamton (America East) ,31,11-20 ,131,4.2
62,Northwestern St. (Southland) ,29,4-25 ,122,4.2
63,Old Dominion (C-USA) ,30,24-6 ,126,4.2
64,Alabama St. (SWAC) ,31,8-23 ,130,4.2
65,Drexel (CAA) ,33,13-20 ,138,4.2
