Rank,Name,GM,W-L,Drebs,RPG
1,South Dakota St. (Summit League) ,34,28-6 ,1023,30.09
2,Michigan St. (Big Ten) ,33,29-4 ,983,29.79
3,UC Irvine (Big West) ,32,16-16 ,936,29.25
4,Creighton (Big East) ,31,21-10 ,897,28.94
5,UTSA (C-USA) ,31,18-13 ,895,28.87
6,Gonzaga (WCC) ,34,30-4 ,981,28.85
7,Texas A&M (SEC) ,31,20-11 ,894,28.84
8,Penn (Ivy League) ,30,22-8 ,862,28.73
9,North Carolina (ACC) ,31,22-9 ,889,28.68
10,UCLA (Pac-12) ,30,20-10 ,859,28.63
11,Boise St. (MWC) ,30,23-7 ,858,28.6
12,Bethune-Cookman (MEAC) ,31,18-13 ,886,28.58
12,UNLV (MWC) ,31,19-12 ,886,28.58
14,New Mexico St. (WAC) ,30,25-5 ,857,28.57
15,Wichita St. (AAC) ,30,24-6 ,856,28.53
16,Saint Joseph's (Atlantic 10) ,30,15-15 ,853,28.43
17,Hampton (MEAC) ,31,17-14 ,880,28.39
18,Lipscomb (ASUN) ,32,23-9 ,907,28.34
19,Xavier (Big East) ,31,27-4 ,878,28.32
20,Duke (ACC) ,31,25-6 ,876,28.26
20,Wyoming (MWC) ,31,19-12 ,876,28.26
22,Marshall (C-USA) ,31,21-10 ,875,28.23
23,UT Arlington (Sun Belt) ,31,19-12 ,873,28.16
23,UAB (C-USA) ,31,19-12 ,873,28.16
25,Western Ill. (Summit League) ,28,12-16 ,788,28.14
26,Oklahoma (Big 12) ,30,18-12 ,842,28.07
27,Ohio (MAC) ,31,14-17 ,867,27.97
28,Ill.-Chicago (Horizon) ,32,17-15 ,894,27.94
29,Sacred Heart (NEC) ,31,10-21 ,865,27.9
30,Weber St. (Big Sky) ,30,20-10 ,837,27.9
31,Northern Colo. (Big Sky) ,32,21-11 ,889,27.78
32,Ball St. (MAC) ,31,19-12 ,861,27.77
33,FGCU (ASUN) ,34,23-11 ,939,27.62
34,Elon (CAA) ,32,14-18 ,882,27.56
35,Toledo (MAC) ,31,21-10 ,854,27.55
36,Utah Valley (WAC) ,30,21-9 ,826,27.53
37,Georgetown (Big East) ,29,15-14 ,798,27.52
38,Bucknell (Patriot) ,33,24-9 ,908,27.52
39,Green Bay (Horizon) ,33,13-20 ,907,27.48
40,Colorado (Pac-12) ,30,16-14 ,822,27.4
41,Appalachian St. (Sun Belt) ,31,14-17 ,849,27.39
42,LIU Brooklyn (NEC) ,34,18-16 ,931,27.38
43,McNeese (Southland) ,28,11-17 ,766,27.36
44,South Dakota (Summit League) ,34,26-8 ,929,27.32
45,Fla. Atlantic (C-USA) ,30,12-18 ,817,27.23
46,Winthrop (Big South) ,31,19-12 ,843,27.19
47,North Dakota St. (Summit League) ,32,15-17 ,869,27.16
48,Idaho (Big Sky) ,30,22-8 ,814,27.13
49,Stanford (Pac-12) ,31,17-14 ,841,27.13
49,Louisville (ACC) ,31,19-12 ,841,27.13
51,Georgia (SEC) ,30,16-14 ,813,27.1
52,South Ala. (Sun Belt) ,31,14-17 ,840,27.1
53,Tulsa (AAC) ,30,19-11 ,812,27.07
54,Monmouth (MAAC) ,31,11-20 ,839,27.06
55,Nevada (MWC) ,32,26-6 ,866,27.06
56,George Mason (Atlantic 10) ,31,15-16 ,838,27.03
56,Seattle U (WAC) ,31,19-12 ,838,27.03
58,Houston (AAC) ,30,24-6 ,810,27
58,Northern Ky. (Horizon) ,31,22-9 ,837,27
60,Niagara (MAAC) ,32,19-13 ,863,26.97
60,UNCW (CAA) ,32,11-21 ,863,26.97
62,Ohio St. (Big Ten) ,32,24-8 ,861,26.91
63,New Hampshire (America East) ,31,10-21 ,834,26.9
63,Coastal Caro. (Sun Belt) ,31,14-17 ,834,26.9
65,Missouri St. (MVC) ,33,18-15 ,887,26.88
66,Buffalo (MAC) ,31,23-8 ,832,26.84
67,Lehigh (Patriot) ,30,16-14 ,805,26.83
68,Missouri (SEC) ,31,20-11 ,831,26.81
69,Grand Canyon (WAC) ,30,20-10 ,804,26.8
70,ETSU (SoCon) ,34,25-9 ,910,26.76
71,Jacksonville St. (OVC) ,33,21-12 ,883,26.76
72,San Jose St. (MWC) ,29,4-25 ,775,26.72
73,Bowling Green (MAC) ,32,16-16 ,854,26.69
73,Boston College (ACC) ,32,18-14 ,854,26.69
75,Kentucky (SEC) ,31,21-10 ,827,26.68
76,Troy (Sun Belt) ,31,15-16 ,826,26.65
77,UTEP (C-USA) ,30,11-19 ,799,26.63
78,Purdue (Big Ten) ,34,28-6 ,904,26.59
79,Louisiana (Sun Belt) ,31,26-5 ,824,26.58
80,Denver (Summit League) ,30,15-15 ,797,26.57
81,Minnesota (Big Ten) ,32,15-17 ,850,26.56
82,Murray St. (OVC) ,31,26-5 ,823,26.55
82,Eastern Wash. (Big Sky) ,31,18-13 ,823,26.55
84,Oakland (Horizon) ,33,19-14 ,876,26.55
85,Clemson (ACC) ,30,22-8 ,796,26.53
85,UC Santa Barbara (Big West) ,30,22-8 ,796,26.53
87,Miami (OH) (MAC) ,32,16-16 ,849,26.53
88,Belmont (OVC) ,33,24-9 ,875,26.52
