Rank,Team,2017,Last 3,Last 1,Home,Away,2016
1,Cincinnati ,0.837,0.883,0.875,0.808,0.864,0.911
2,Virginia ,0.86,0.972,1.072,0.839,0.883,0.899
3,Grd Canyon ,0.885,0.963,1.054,0.839,0.934,0.936
4,N Mex State ,0.909,0.932,0.849,0.878,0.929,0.968
5,Old Dominion ,0.914,0.854,0.892,0.822,0.987,0.926
6,Texas Tech ,0.917,1.052,1.031,0.856,0.995,0.988
7,NC-Grnsboro ,0.919,0.835,0.718,0.839,0.985,1.018
8,Ste F Austin ,0.922,0.88,0.909,0.849,0.978,0.978
9,Michigan St ,0.923,1.05,1.116,0.893,0.956,0.987
10,Wright State ,0.925,0.892,0.867,0.862,0.971,1.016
11,Central FL ,0.926,0.944,1.221,0.894,0.958,0.9
12,Loyola-Chi ,0.927,0.839,0.81,0.916,0.936,0.983
13,Houston ,0.928,0.922,0.891,0.862,0.983,0.959
14,Gonzaga ,0.931,0.88,0.768,0.905,0.953,0.849
15,E Tenn St ,0.937,0.866,0.947,0.943,0.932,0.944
16,Purdue ,0.938,1.111,1.137,0.862,1.018,0.949
17,N Kentucky ,0.94,0.977,1.188,0.861,0.995,1.005
18,Michigan ,0.943,0.937,1,0.862,1.016,1.013
19,Boise State ,0.948,1.065,1.057,0.922,0.975,1.001
20,Montana ,0.949,1.061,1.049,0.891,0.985,1.039
21,Penn State ,0.952,1.061,1.153,0.871,1.047,0.974
22,Duke ,0.952,0.95,1,0.872,1.026,0.986
23,U Penn ,0.952,0.991,1.021,0.892,0.994,0.978
24,Clemson ,0.952,1.037,0.979,0.89,1.015,1.028
25,Rutgers ,0.953,1.021,1.274,0.894,1.055,0.971
26,Tennessee ,0.953,1.03,1.214,0.926,0.975,0.989
27,Middle Tenn ,0.953,0.998,1.033,0.893,0.993,0.944
28,Evansville ,0.953,0.841,1.001,0.88,1.037,1.003
29,Jksnville St ,0.954,0.949,1.017,0.95,0.958,1.027
30,Murray St ,0.955,0.863,0.775,0.971,0.94,1.052
31,San Diego St ,0.955,0.917,1.008,0.885,1.013,0.914
32,South Dakota ,0.956,1.018,1.192,0.947,0.96,1.012
33,W Virginia ,0.956,1.021,1.26,0.892,1.02,0.898
34,Syracuse ,0.957,0.997,1.147,0.914,1.013,1.014
35,Ohio State ,0.959,0.979,1.08,0.937,0.987,0.99
36,Rhode Island ,0.959,1.025,0.895,0.905,1.012,0.942
37,San Diego ,0.962,1.073,1.194,0.936,0.987,1.051
38,Miss State ,0.964,1.047,0.868,0.908,1.046,0.986
39,LA Lafayette ,0.964,0.934,1.087,0.913,1,1.04
40,Texas A&M ,0.966,0.915,0.982,0.925,1.006,0.987
41,Texas ,0.966,1.074,1.171,0.94,0.995,0.984
42,Georgia St ,0.966,0.894,0.926,1.016,0.935,0.994
43,Bradley ,0.967,1.003,0.999,0.882,1.031,1.016
44,UC Irvine ,0.967,0.963,1.035,0.934,0.981,0.951
45,Harvard ,0.967,1.038,1.068,0.937,0.985,0.975
46,BYU ,0.968,1.102,1.052,0.955,0.98,0.961
47,Miami (FL) ,0.969,1.116,1.1,0.919,1.012,0.959
48,Wagner ,0.97,0.943,0.997,0.928,1.011,0.982
49,UC Davis ,0.97,0.957,0.872,0.937,0.985,0.962
50,Bucknell ,0.971,0.894,0.826,0.915,1.02,0.945
51,S Carolina ,0.971,1.035,1,0.962,0.978,0.901
52,S Alabama ,0.972,1.081,0.937,0.908,1.02,1.017
53,Utah Val St ,0.972,0.915,1.002,0.949,0.99,0.961
54,St Peters ,0.972,0.897,1.042,0.968,0.975,0.932
55,Rob Morris ,0.973,1.059,1.054,0.996,0.963,0.946
56,Alabama ,0.973,1.046,1.339,0.914,1.027,0.923
57,S Methodist ,0.974,1.029,0.984,0.92,1.039,0.923
58,Villanova ,0.975,1.005,0.972,0.968,0.979,0.936
59,N Iowa ,0.975,0.893,0.903,0.912,1.032,0.98
60,Georgia ,0.977,0.954,1.036,0.923,1.025,0.981
61,Grambling St ,0.977,0.911,0.895,0.907,1.009,1.029
62,Hawaii ,0.977,0.967,0.97,0.964,1,0.979
63,Louisville ,0.977,1.118,1.25,0.931,1.042,0.937
64,Furman ,0.978,0.976,0.915,0.928,1.019,0.981
65,Auburn ,0.979,1.049,1.112,0.951,1.006,1.024
66,Vermont ,0.979,0.884,1.061,0.935,1.007,0.952
67,Florida ,0.98,0.993,1.212,0.953,1.011,0.917
68,Lamar ,0.98,0.955,1.011,0.995,0.97,1.014
69,TX-Arlington ,0.98,1.02,1.123,0.916,1.028,0.968
70,Maryland ,0.981,1.101,1.011,0.917,1.059,0.984
71,Navy ,0.981,1.061,1.18,0.999,0.967,0.969
72,Missouri ,0.982,0.996,0.945,0.95,1.013,0.999
73,IL-Chicago ,0.982,1.086,1.094,0.962,1.002,1.016
74,Valparaiso ,0.982,1.098,1.197,0.954,0.996,0.961
75,Fla Gulf Cst ,0.983,1.142,1.273,0.994,0.969,1.007
76,TN State ,0.983,1.07,1.02,0.986,0.982,0.961
77,Kentucky ,0.983,0.981,1.135,0.941,1.034,0.938
78,Radford ,0.983,0.906,0.918,0.982,0.984,1.038
79,Nebraska ,0.984,0.963,1.141,0.95,1.022,1.028
80,N Colorado ,0.984,0.937,1.144,0.992,0.98,1.024
81,Baylor ,0.984,0.993,1.022,0.927,1.056,0.957
82,St Marys ,0.984,0.98,1.356,0.932,1.039,0.921
83,E Michigan ,0.985,1.007,1.006,0.932,1.025,1.035
84,Fresno St ,0.986,0.948,0.934,0.985,0.986,0.973
85,St Bonavent ,0.986,1.111,1.38,0.938,1.026,0.99
86,W Kentucky ,0.987,0.926,0.994,0.95,1.017,1.047
87,Wichita St ,0.987,1.068,1.1,0.983,0.991,0.874
88,Stony Brook ,0.988,0.99,1.067,0.99,0.986,1.008
89,WI-Milwkee ,0.988,0.995,0.892,0.959,1.012,1.061
90,Saint Louis ,0.988,1.126,1.376,0.919,1.071,1.024
91,St Josephs ,0.99,1.016,1.354,0.945,1.021,1.016
92,Albany ,0.99,0.924,0.976,0.971,1.01,0.993
93,GA Southern ,0.99,0.987,1.034,0.975,0.998,1.039
94,Kansas ,0.99,0.996,1.089,0.966,1.015,0.979
95,Florida St ,0.99,1.07,1.162,0.972,1.008,0.974
96,SE Louisiana ,0.991,1.006,0.975,0.924,1.025,0.971
97,Canisius ,0.991,1.059,1.051,0.976,1.002,1.058
98,Utah ,0.991,1.009,1.116,0.912,1.089,0.972
99,Nicholls St ,0.991,0.992,0.999,0.93,1.03,1.095
100,Liberty ,0.992,0.966,0.971,0.959,1.018,0.992
101,Belmont ,0.992,1.022,1.034,0.969,1.014,0.999
102,Missouri St ,0.992,1.157,1.139,0.95,1.025,1.02
103,Miami (OH) ,0.992,0.951,1.043,0.965,1.009,1.028
104,Oregon ,0.992,1.009,1.062,0.943,1.049,0.936
