Rank,Team,GM,W-L,TO
1,Virginia (ACC) ,30,28-2 ,264
2,Davidson (Atlantic 10) ,29,18-11 ,284
3,Saint Joseph's (Atlantic 10) ,30,15-15 ,298
4,Southern Miss. (C-USA) ,31,14-17 ,301
5,Florida (SEC) ,31,20-11 ,305
6,UC Santa Barbara (Big West) ,30,22-8 ,312
6,Notre Dame (ACC) ,31,18-13 ,312
8,Old Dominion (C-USA) ,30,24-6 ,313
9,Rhode Island (Atlantic 10) ,29,23-6 ,314
10,Col. of Charleston (CAA) ,33,26-7 ,318
11,Michigan (Big Ten) ,35,28-7 ,320
12,Saint Mary's (CA) (WCC) ,33,28-5 ,321
13,Villanova (Big East) ,31,27-4 ,322
13,Nevada (MWC) ,32,26-6 ,322
15,Southern California (Pac-12) ,31,21-10 ,325
16,Temple (AAC) ,30,16-14 ,328
17,Arizona St. (Pac-12) ,30,20-10 ,329
18,Princeton (Ivy League) ,29,13-16 ,334
19,Hofstra (CAA) ,31,19-12 ,335
20,Columbia (Ivy League) ,27,8-19 ,338
21,South Dakota St. (Summit League) ,34,28-6 ,340
22,La.-Monroe (Sun Belt) ,29,15-14 ,341
23,Colgate (Patriot) ,31,19-12 ,342
24,Miami (FL) (ACC) ,30,22-8 ,343
24,Western Mich. (MAC) ,32,17-15 ,343
26,Arkansas (SEC) ,31,21-10 ,344
26,San Diego St. (MWC) ,29,19-10 ,344
28,Creighton (Big East) ,31,21-10 ,345
28,FIU (C-USA) ,31,14-17 ,345
30,LSU (SEC) ,30,17-13 ,346
30,Wichita St. (AAC) ,30,24-6 ,346
32,Saint Francis (PA) (NEC) ,30,18-12 ,347
32,Richmond (Atlantic 10) ,30,11-19 ,347
34,West Virginia (Big 12) ,31,22-9 ,349
35,Santa Clara (WCC) ,31,11-20 ,350
35,Stetson (ASUN) ,32,12-20 ,350
35,Georgia St. (Sun Belt) ,31,21-10 ,350
35,St. Bonaventure (Atlantic 10) ,30,24-6 ,350
35,Ga. Southern (Sun Belt) ,31,20-11 ,350
35,Western Ill. (Summit League) ,28,12-16 ,350
41,Utah (Pac-12) ,29,19-10 ,351
41,Butler (Big East) ,31,19-12 ,351
41,Mt. St. Mary's (NEC) ,32,18-14 ,351
44,Ole Miss (SEC) ,31,12-19 ,352
44,Eastern Wash. (Big Sky) ,31,18-13 ,352
44,Iowa St. (Big 12) ,30,13-17 ,352
44,Jackson St. (SWAC) ,31,12-20 ,352
48,Minnesota (Big Ten) ,32,15-17 ,353
48,Wisconsin (Big Ten) ,33,15-18 ,353
50,Delaware (CAA) ,33,14-19 ,354
50,Kansas St. (Big 12) ,31,21-10 ,354
52,Penn (Ivy League) ,30,22-8 ,356
52,Weber St. (Big Sky) ,30,20-10 ,356
54,Nebraska (Big Ten) ,32,22-10 ,357
55,Cal Poly (Big West) ,30,9-21 ,359
56,Niagara (MAAC) ,32,19-13 ,360
57,Kansas (Big 12) ,31,24-7 ,361
57,SMU (AAC) ,31,16-15 ,361
