Rank,Name,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Michigan St. (Big Ten) ,33,29-4 ,736,2011,36.6
2,Cincinnati (AAC) ,31,27-4 ,628,1695,37.1
3,Virginia (ACC) ,30,28-2 ,566,1508,37.5
4,UC Irvine (Big West) ,32,16-16 ,713,1835,38.9
5,New Mexico St. (WAC) ,30,25-5 ,659,1682,39.2
6,Georgia (SEC) ,30,16-14 ,707,1793,39.4
7,Syracuse (ACC) ,32,20-12 ,697,1767,39.4
8,UCF (AAC) ,30,18-12 ,666,1684,39.5
9,Houston (AAC) ,30,24-6 ,641,1615,39.7
10,Georgia St. (Sun Belt) ,31,21-10 ,695,1746,39.8
11,Grand Canyon (WAC) ,30,20-10 ,670,1680,39.9
12,Duke (ACC) ,31,25-6 ,793,1983,40
13,Texas A&M (SEC) ,31,20-11 ,772,1927,40.1
14,Texas Tech (Big 12) ,31,23-8 ,671,1670,40.2
15,Jacksonville St. (OVC) ,33,21-12 ,741,1842,40.2
16,ETSU (SoCon) ,34,25-9 ,778,1929,40.3
17,Bradley (MVC) ,33,20-13 ,716,1768,40.5
18,Gonzaga (WCC) ,34,30-4 ,805,1987,40.5
19,Coastal Caro. (Sun Belt) ,31,14-17 ,714,1762,40.5
20,UNCG (SoCon) ,34,27-7 ,704,1736,40.6
21,Louisville (ACC) ,31,19-12 ,776,1908,40.7
22,Eastern Mich. (MAC) ,31,20-11 ,717,1761,40.7
23,South Ala. (Sun Belt) ,31,14-17 ,738,1810,40.8
24,Ill.-Chicago (Horizon) ,32,17-15 ,820,2010,40.8
25,Missouri (SEC) ,31,20-11 ,753,1845,40.8
26,Wagner (NEC) ,32,23-9 ,701,1717,40.8
27,Clemson (ACC) ,30,22-8 ,705,1726,40.8
28,Northern Ky. (Horizon) ,31,22-9 ,730,1786,40.9
29,Tennessee (SEC) ,30,23-7 ,678,1658,40.9
30,Maryland (Big Ten) ,32,19-13 ,781,1909,40.9
31,South Dakota (Summit League) ,34,26-8 ,831,2031,40.9
32,Seattle U (WAC) ,31,19-12 ,739,1804,41
33,Murray St. (OVC) ,31,26-5 ,729,1779,41
34,Old Dominion (C-USA) ,30,24-6 ,666,1625,41
35,Purdue (Big Ten) ,34,28-6 ,834,2033,41
36,Missouri St. (MVC) ,33,18-15 ,779,1898,41
37,Kentucky (SEC) ,31,21-10 ,776,1887,41.1
38,Alabama (SEC) ,31,17-14 ,751,1826,41.1
39,San Diego (WCC) ,31,18-13 ,685,1664,41.2
40,Loyola Chicago (MVC) ,33,28-5 ,755,1831,41.2
41,Utah Valley (WAC) ,30,21-9 ,741,1797,41.2
