Rank,Name,GM,W-L,FGM,FGA,FG%
1,Saint Mary's (CA) (WCC) ,33,28-5 ,925,1799,51.4
2,William & Mary (CAA) ,31,19-12 ,910,1782,51.1
3,Arizona (Pac-12) ,31,24-7 ,896,1758,51
4,Loyola Chicago (MVC) ,33,28-5 ,869,1714,50.7
5,Villanova (Big East) ,31,27-4 ,965,1909,50.6
6,Michigan St. (Big Ten) ,33,29-4 ,943,1872,50.4
7,Gonzaga (WCC) ,34,30-4 ,1049,2085,50.3
8,Virginia Tech (ACC) ,31,21-10 ,876,1751,50
9,TCU (Big 12) ,31,21-10 ,935,1871,50
10,Creighton (Big East) ,31,21-10 ,960,1923,49.9
11,Western Ky. (C-USA) ,31,22-9 ,882,1771,49.8
12,Purdue (Big Ten) ,34,28-6 ,958,1928,49.7
13,FGCU (ASUN) ,34,23-11 ,1022,2057,49.7
14,Xavier (Big East) ,31,27-4 ,900,1815,49.6
15,Weber St. (Big Sky) ,30,20-10 ,828,1670,49.6
16,Kansas (Big 12) ,31,24-7 ,932,1886,49.4
17,Fresno St. (MWC) ,31,21-10 ,865,1752,49.4
18,Duke (ACC) ,31,25-6 ,950,1925,49.4
19,UNLV (MWC) ,31,19-12 ,921,1871,49.2
20,SFA (Southland) ,31,25-6 ,905,1840,49.2
21,Vermont (America East) ,33,27-6 ,834,1706,48.9
22,UAB (C-USA) ,31,19-12 ,885,1818,48.7
23,Belmont (OVC) ,33,24-9 ,901,1853,48.6
24,Utah Valley (WAC) ,30,21-9 ,822,1691,48.6
25,Ohio St. (Big Ten) ,32,24-8 ,894,1842,48.5
26,Murray St. (OVC) ,31,26-5 ,849,1752,48.5
27,BYU (WCC) ,34,24-10 ,885,1829,48.4
28,Northeastern (CAA) ,33,23-10 ,859,1776,48.4
29,Dayton (Atlantic 10) ,30,14-16 ,777,1608,48.3
30,Davidson (Atlantic 10) ,29,18-11 ,800,1662,48.1
31,Arkansas (SEC) ,31,21-10 ,916,1905,48.1
32,Wichita St. (AAC) ,30,24-6 ,881,1834,48
33,South Dakota (Summit League) ,34,26-8 ,991,2066,48
34,Northern Ky. (Horizon) ,31,22-9 ,876,1828,47.9
35,Iowa (Big Ten) ,33,14-19 ,946,1975,47.9
36,Maryland (Big Ten) ,32,19-13 ,811,1696,47.8
37,Nicholls St. (Southland) ,31,21-10 ,924,1935,47.8
38,Winthrop (Big South) ,31,19-12 ,859,1803,47.6
39,Mercer (SoCon) ,32,18-14 ,827,1736,47.6
40,Buffalo (MAC) ,31,23-8 ,955,2005,47.6
41,Campbell (Big South) ,31,16-15 ,813,1708,47.6
42,LSU (SEC) ,30,17-13 ,832,1749,47.6
43,UNC Asheville (Big South) ,33,21-12 ,877,1846,47.5
44,Florida St. (ACC) ,30,20-10 ,879,1851,47.5
45,Oregon St. (Pac-12) ,30,15-15 ,790,1664,47.5
46,Idaho St. (Big Sky) ,30,14-16 ,778,1639,47.5
47,Marquette (Big East) ,30,18-12 ,856,1804,47.5
48,Toledo (MAC) ,31,21-10 ,841,1773,47.4
49,ETSU (SoCon) ,34,25-9 ,926,1957,47.3
50,Denver (Summit League) ,30,15-15 ,803,1699,47.3
51,Kansas St. (Big 12) ,31,21-10 ,800,1695,47.2
52,Butler (Big East) ,31,19-12 ,909,1926,47.2
53,Marshall (C-USA) ,31,21-10 ,915,1939,47.2
54,Nevada (MWC) ,32,26-6 ,907,1923,47.2
55,Cal St. Fullerton (Big West) ,28,17-11 ,715,1517,47.1
56,Samford (SoCon) ,32,10-22 ,870,1846,47.1
57,Saint Francis (PA) (NEC) ,30,18-12 ,840,1783,47.1
58,Bucknell (Patriot) ,33,24-9 ,911,1935,47.1
59,Michigan (Big Ten) ,35,28-7 ,943,2003,47.1
60,Wofford (SoCon) ,33,21-12 ,867,1843,47
61,UC Davis (Big West) ,30,21-9 ,770,1637,47
62,Eastern Mich. (MAC) ,31,20-11 ,827,1759,47
63,South Dakota St. (Summit League) ,34,28-6 ,979,2084,47
64,Furman (SoCon) ,33,23-10 ,942,2006,47
65,North Dakota St. (Summit League) ,32,15-17 ,837,1783,46.9
66,Idaho (Big Sky) ,30,22-8 ,791,1687,46.9
67,Abilene Christian (Southland) ,31,16-15 ,838,1788,46.9
68,Seton Hall (Big East) ,31,21-10 ,889,1897,46.9
69,Southern California (Pac-12) ,31,21-10 ,879,1876,46.9
70,NC State (ACC) ,31,21-10 ,903,1929,46.8
71,UC Santa Barbara (Big West) ,30,22-8 ,830,1774,46.8
72,Yale (Ivy League) ,30,16-14 ,810,1732,46.8
73,Miami (FL) (ACC) ,30,22-8 ,824,1762,46.8
74,Louisiana (Sun Belt) ,31,26-5 ,888,1899,46.8
75,Houston (AAC) ,30,24-6 ,835,1786,46.8
76,Baylor (Big 12) ,31,18-13 ,859,1839,46.7
77,Towson (CAA) ,32,18-14 ,889,1904,46.7
78,Montana (Big Sky) ,30,23-7 ,832,1782,46.7
79,Boise St. (MWC) ,30,23-7 ,830,1778,46.7
80,Canisius (MAAC) ,32,21-11 ,878,1881,46.7
81,Oklahoma (Big 12) ,30,18-12 ,903,1935,46.7
81,N.C. Central (MEAC) ,31,16-15 ,847,1815,46.7
83,Kentucky (SEC) ,31,21-10 ,842,1805,46.6
84,Western Ill. (Summit League) ,28,12-16 ,749,1607,46.6
85,Mississippi St. (SEC) ,31,21-10 ,848,1820,46.6
86,North Carolina (ACC) ,31,22-9 ,946,2031,46.6
87,Stanford (Pac-12) ,31,17-14 ,819,1760,46.5
88,Rider (MAAC) ,31,22-9 ,897,1928,46.5
89,Hofstra (CAA) ,31,19-12 ,868,1868,46.5
90,Liberty (Big South) ,34,20-14 ,826,1779,46.4
91,UCLA (Pac-12) ,30,20-10 ,848,1827,46.4
92,Texas Tech (Big 12) ,31,23-8 ,814,1754,46.4
93,Middle Tenn. (C-USA) ,30,24-6 ,812,1750,46.4
94,N.C. A&T (MEAC) ,32,19-13 ,860,1854,46.4
95,Arizona St. (Pac-12) ,30,20-10 ,837,1805,46.4
96,Rhode Island (Atlantic 10) ,29,23-6 ,822,1773,46.4
97,Northern Colo. (Big Sky) ,32,21-11 ,920,1987,46.3
98,Boston U. (Patriot) ,31,15-16 ,800,1730,46.2
99,Eastern Wash. (Big Sky) ,31,18-13 ,827,1789,46.2
100,Cornell (Ivy League) ,27,12-15 ,724,1567,46.2
101,Iona (MAAC) ,33,20-13 ,931,2016,46.2
102,Southern Ill. (MVC) ,33,20-13 ,839,1817,46.2
103,New Mexico St. (WAC) ,30,25-5 ,856,1855,46.1
104,Holy Cross (Patriot) ,31,12-19 ,724,1569,46.1
105,Georgia St. (Sun Belt) ,31,21-10 ,840,1822,46.1
106,Penn St. (Big Ten) ,34,21-13 ,925,2009,46
107,Southeast Mo. St. (OVC) ,31,14-17 ,796,1729,46
108,Jacksonville St. (OVC) ,33,21-12 ,879,1910,46
109,Virginia (ACC) ,30,28-2 ,745,1619,46
110,UMass Lowell (America East) ,30,12-18 ,791,1719,46
111,Oregon (Pac-12) ,31,20-11 ,860,1870,46
112,Col. of Charleston (CAA) ,33,26-7 ,852,1853,46
113,North Dakota (Big Sky) ,31,12-19 ,836,1820,45.9
114,San Diego St. (MWC) ,29,19-10 ,804,1751,45.9
115,Texas A&M (SEC) ,31,20-11 ,863,1880,45.9
116,Alabama (SEC) ,31,17-14 ,784,1708,45.9
117,Richmond (Atlantic 10) ,30,11-19 ,793,1729,45.9
118,VCU (Atlantic 10) ,31,17-14 ,869,1895,45.9
119,Omaha (Summit League) ,31,9-22 ,877,1913,45.8
120,High Point (Big South) ,30,14-16 ,775,1691,45.8
121,Penn (Ivy League) ,30,22-8 ,818,1785,45.8
122,Monmouth (MAAC) ,31,11-20 ,787,1718,45.8
123,Missouri (SEC) ,31,20-11 ,756,1652,45.8
124,Washington (Pac-12) ,31,20-11 ,818,1788,45.7
125,Fort Wayne (Summit League) ,32,18-14 ,920,2013,45.7
126,Albany (NY) (America East) ,32,22-10 ,839,1836,45.7
127,Delaware (CAA) ,33,14-19 ,859,1880,45.7
128,LIU Brooklyn (NEC) ,34,18-16 ,916,2005,45.7
129,North Florida (ASUN) ,33,14-19 ,939,2058,45.6
130,Northern Ill. (MAC) ,32,13-19 ,849,1861,45.6
131,Georgetown (Big East) ,29,15-14 ,776,1701,45.6
132,Central Ark. (Southland) ,31,16-15 ,880,1929,45.6
133,Indiana (Big Ten) ,31,16-15 ,806,1767,45.6
134,Lipscomb (ASUN) ,32,23-9 ,901,1976,45.6
135,Cincinnati (AAC) ,31,27-4 ,825,1810,45.6
136,Louisville (ACC) ,31,19-12 ,847,1859,45.6
137,Clemson (ACC) ,30,22-8 ,763,1675,45.6
138,Long Beach St. (Big West) ,32,15-17 ,844,1854,45.5
139,Mt. St. Mary's (NEC) ,32,18-14 ,809,1778,45.5
140,Utah (Pac-12) ,29,19-10 ,726,1596,45.5
141,Southeastern La. (Southland) ,31,21-10 ,803,1766,45.5
142,Lafayette (Patriot) ,31,10-21 ,777,1709,45.5
143,Ball St. (MAC) ,31,19-12 ,830,1826,45.5
143,Kennesaw St. (ASUN) ,30,10-20 ,805,1771,45.5
145,Austin Peay (OVC) ,32,18-14 ,852,1876,45.4
146,Utah St. (MWC) ,31,15-16 ,788,1737,45.4
147,UT Arlington (Sun Belt) ,31,19-12 ,855,1885,45.4
148,Hartford (America East) ,32,19-13 ,809,1784,45.3
149,Princeton (Ivy League) ,29,13-16 ,753,1661,45.3
150,New Mexico (MWC) ,31,17-14 ,856,1889,45.3
151,Central Conn. St. (NEC) ,32,14-18 ,788,1740,45.3
152,Lehigh (Patriot) ,30,16-14 ,835,1845,45.3
153,St. Bonaventure (Atlantic 10) ,30,24-6 ,787,1740,45.2
154,Hampton (MEAC) ,31,17-14 ,863,1909,45.2
155,Boston College (ACC) ,32,18-14 ,865,1914,45.2
156,Notre Dame (ACC) ,31,18-13 ,821,1819,45.1
157,Pacific (WCC) ,32,14-18 ,804,1782,45.1
158,Fairleigh Dickinson (NEC) ,31,13-18 ,842,1868,45.1
159,Old Dominion (C-USA) ,30,24-6 ,805,1787,45
160,Memphis (AAC) ,31,19-12 ,757,1681,45
161,Jacksonville (ASUN) ,33,15-18 ,897,1993,45
162,Ill.-Chicago (Horizon) ,32,17-15 ,843,1874,45
163,Oakland (Horizon) ,33,19-14 ,884,1966,45
164,Pepperdine (WCC) ,32,6-26 ,822,1829,44.9
165,Valparaiso (MVC) ,32,15-17 ,781,1740,44.9
166,Tulane (AAC) ,30,14-16 ,771,1718,44.9
167,Louisiana Tech (C-USA) ,31,16-15 ,794,1771,44.8
168,NJIT (ASUN) ,30,14-16 ,808,1803,44.8
169,Wisconsin (Big Ten) ,33,15-18 ,793,1770,44.8
170,Niagara (MAAC) ,32,19-13 ,918,2050,44.8
171,Massachusetts (Atlantic 10) ,31,12-19 ,815,1820,44.8
172,New Orleans (Southland) ,29,14-15 ,712,1590,44.8
173,Dartmouth (Ivy League) ,27,7-20 ,651,1454,44.8
174,Portland St. (Big Sky) ,31,19-12 ,967,2160,44.8
