Rank,Team,GM,W-L,FT,FTA
1,Bucknell (Patriot) ,33,24-9 ,598,831
2,Rider (MAAC) ,31,22-9 ,503,828
3,Lipscomb (ASUN) ,32,23-9 ,580,811
3,Texas Southern (SWAC) ,32,13-19 ,580,811
5,UNLV (MWC) ,31,19-12 ,569,810
6,Niagara (MAAC) ,32,19-13 ,578,793
7,UTRGV (WAC) ,31,15-16 ,580,788
8,Bethune-Cookman (MEAC) ,31,18-13 ,547,785
9,Kentucky (SEC) ,31,21-10 ,539,776
10,Grambling (SWAC) ,31,17-14 ,547,769
11,Auburn (SEC) ,31,25-6 ,605,767
12,Wyoming (MWC) ,31,19-12 ,567,765
13,Prairie View (SWAC) ,33,16-17 ,514,764
14,LIU Brooklyn (NEC) ,34,18-16 ,531,763
15,Arizona St. (Pac-12) ,30,20-10 ,566,762
16,Southern U. (SWAC) ,32,15-17 ,518,758
16,Monmouth (MAAC) ,31,11-20 ,539,758
18,Saint Louis (Atlantic 10) ,31,16-15 ,492,756
19,South Carolina (SEC) ,31,16-15 ,532,751
20,Northern Ariz. (Big Sky) ,32,5-27 ,526,750
21,Montana St. (Big Sky) ,32,13-19 ,543,746
22,South Dakota St. (Summit League) ,34,28-6 ,566,745
23,Stanford (Pac-12) ,31,17-14 ,507,737
24,Xavier (Big East) ,31,27-4 ,577,735
25,Memphis (AAC) ,31,19-12 ,509,734
25,Ga. Southern (Sun Belt) ,31,20-11 ,484,734
27,Long Beach St. (Big West) ,32,15-17 ,532,733
27,Nevada (MWC) ,32,26-6 ,548,733
29,Louisiana (Sun Belt) ,31,26-5 ,559,731
30,Bowling Green (MAC) ,32,16-16 ,534,730
31,Lamar University (Southland) ,31,19-12 ,481,726
32,Western Ky. (C-USA) ,31,22-9 ,508,723
32,SFA (Southland) ,31,25-6 ,508,723
34,Vermont (America East) ,33,27-6 ,540,718
35,Alabama (SEC) ,31,17-14 ,480,717
36,Pacific (WCC) ,32,14-18 ,521,715
37,Wright St. (Horizon) ,34,25-9 ,512,714
38,South Dakota (Summit League) ,34,26-8 ,536,711
39,Houston Baptist (Southland) ,31,6-25 ,443,710
39,Texas Tech (Big 12) ,31,23-8 ,502,710
39,Tennessee Tech (OVC) ,33,19-14 ,483,710
42,Providence (Big East) ,31,19-12 ,496,709
43,Nebraska (Big Ten) ,32,22-10 ,507,707
43,Syracuse (ACC) ,32,20-12 ,523,707
45,South Carolina St. (MEAC) ,32,10-22 ,492,706
46,N.C. A&T (MEAC) ,32,19-13 ,503,703
46,Central Ark. (Southland) ,31,16-15 ,517,703
46,St. Bonaventure (Atlantic 10) ,30,24-6 ,538,703
49,BYU (WCC) ,34,24-10 ,528,701
50,Iowa (Big Ten) ,33,14-19 ,486,699
50,Grand Canyon (WAC) ,30,20-10 ,488,699
52,Appalachian St. (Sun Belt) ,31,14-17 ,460,697
52,Oakland (Horizon) ,33,19-14 ,537,697
52,California (Pac-12) ,31,8-23 ,473,697
55,Ill.-Chicago (Horizon) ,32,17-15 ,506,696
55,Purdue (Big Ten) ,34,28-6 ,517,696
55,Montana (Big Sky) ,30,23-7 ,492,696
58,Austin Peay (OVC) ,32,18-14 ,454,694
59,Minnesota (Big Ten) ,32,15-17 ,487,692
60,Morgan St. (MEAC) ,30,12-18 ,499,691
60,Arkansas (SEC) ,31,21-10 ,463,691
60,Tulsa (AAC) ,30,19-11 ,506,691
63,UMass Lowell (America East) ,30,12-18 ,489,690
63,Wagner (NEC) ,32,23-9 ,490,690
