Rank,Team,GM,W-L,FTM,FTA,FT%
1,William & Mary (CAA) ,31,19-12 ,479,591,81
2,Central Mich. (MAC) ,32,19-13 ,514,639,80.4
3,Davidson (Atlantic 10) ,29,18-11 ,319,402,79.4
4,Marquette (Big East) ,31,19-12 ,421,531,79.3
5,Liberty (Big South) ,34,20-14 ,494,624,79.2
6,Auburn (SEC) ,31,25-6 ,605,767,78.9
7,La Salle (Atlantic 10) ,32,13-19 ,465,591,78.7
8,Xavier (Big East) ,31,27-4 ,577,735,78.5
9,Hampton (MEAC) ,32,18-14 ,520,664,78.3
10,Wofford (SoCon) ,33,21-12 ,408,522,78.2
11,Lehigh (Patriot) ,30,16-14 ,373,480,77.7
12,Saint Mary's (CA) (WCC) ,33,28-5 ,435,561,77.5
13,Georgetown (Big East) ,30,15-15 ,524,676,77.5
14,Evansville (MVC) ,32,17-15 ,448,578,77.5
15,Harvard (Ivy League) ,29,17-12 ,363,469,77.4
16,Butler (Big East) ,31,19-12 ,393,508,77.4
17,New Mexico (MWC) ,31,17-14 ,495,640,77.3
18,Cal Poly (Big West) ,30,9-21 ,351,454,77.3
19,Drake (MVC) ,32,16-16 ,452,586,77.1
20,Weber St. (Big Sky) ,30,20-10 ,447,580,77.1
21,Oakland (Horizon) ,33,19-14 ,537,697,77
22,Lafayette (Patriot) ,31,10-21 ,390,507,76.9
23,Eastern Wash. (Big Sky) ,31,18-13 ,393,511,76.9
24,Colgate (Patriot) ,32,19-13 ,409,532,76.9
25,Villanova (Big East) ,31,27-4 ,423,551,76.8
26,Oregon (Pac-12) ,32,21-11 ,447,583,76.7
27,West Virginia (Big 12) ,31,22-9 ,476,621,76.7
28,St. Bonaventure (Atlantic 10) ,30,24-6 ,538,703,76.5
29,Louisiana (Sun Belt) ,31,26-5 ,559,731,76.5
30,Samford (SoCon) ,32,10-22 ,454,594,76.4
31,Arizona (Pac-12) ,31,24-7 ,505,661,76.4
32,Saint Francis (PA) (NEC) ,30,18-12 ,466,610,76.4
33,Oklahoma St. (Big 12) ,32,19-13 ,472,618,76.4
34,Notre Dame (ACC) ,33,20-13 ,479,629,76.2
35,Utah (Pac-12) ,29,19-10 ,421,553,76.1
36,North Dakota St. (Summit League) ,32,15-17 ,414,544,76.1
37,South Dakota St. (Summit League) ,34,28-6 ,566,745,76
38,North Florida (ASUN) ,33,14-19 ,433,570,76
39,Col. of Charleston (CAA) ,33,26-7 ,520,685,75.9
40,Tennessee (SEC) ,30,23-7 ,474,625,75.8
41,Marshall (C-USA) ,31,21-10 ,480,633,75.8
42,Virginia (ACC) ,30,28-2 ,307,406,75.6
43,Mercer (SoCon) ,32,18-14 ,489,647,75.6
44,Brown (Ivy League) ,27,11-16 ,504,667,75.6
45,Detroit Mercy (Horizon) ,32,8-24 ,469,621,75.5
46,Maryland (Big Ten) ,32,19-13 ,487,645,75.5
47,Albany (NY) (America East) ,32,22-10 ,513,680,75.4
48,South Dakota (Summit League) ,34,26-8 ,536,711,75.4
49,BYU (WCC) ,34,24-10 ,528,701,75.3
50,Green Bay (Horizon) ,33,13-20 ,504,670,75.2
