Rank,Name,GM,W-L,FTM,FTA
1,Bucknell (Patriot) ,34,25-9 ,606,844
2,Auburn (SEC) ,31,25-6 ,605,767
3,UNLV (MWC) ,32,20-12 ,595,847
4,Texas Southern (SWAC) ,32,13-19 ,580,811
4,UTRGV (WAC) ,31,15-16 ,580,788
4,Lipscomb (ASUN) ,32,23-9 ,580,811
7,Niagara (MAAC) ,32,19-13 ,578,793
7,Arizona St. (Pac-12) ,31,20-11 ,578,783
9,Xavier (Big East) ,31,27-4 ,577,735
10,Bethune-Cookman (MEAC) ,32,18-14 ,575,820
11,Wyoming (MWC) ,32,20-12 ,573,775
12,South Dakota St. (Summit League) ,34,28-6 ,566,745
13,Louisiana (Sun Belt) ,31,26-5 ,559,731
14,South Carolina (SEC) ,32,17-15 ,551,785
15,Nevada (MWC) ,32,26-6 ,548,733
16,Grambling (SWAC) ,31,17-14 ,547,769
17,Montana St. (Big Sky) ,32,13-19 ,543,746
18,Vermont (America East) ,33,27-6 ,540,718
19,Monmouth (MAAC) ,31,11-20 ,539,758
19,Kentucky (SEC) ,31,21-10 ,539,776
21,St. Bonaventure (Atlantic 10) ,30,24-6 ,538,703
22,Oakland (Horizon) ,33,19-14 ,537,697
23,South Dakota (Summit League) ,34,26-8 ,536,711
24,Central Ark. (Southland) ,32,17-15 ,535,727
25,Bowling Green (MAC) ,32,16-16 ,534,730
25,Syracuse (ACC) ,33,20-13 ,534,721
27,Long Beach St. (Big West) ,32,15-17 ,532,733
28,LIU Brooklyn (NEC) ,34,18-16 ,531,763
29,BYU (WCC) ,34,24-10 ,528,701
30,Northern Ariz. (Big Sky) ,32,5-27 ,526,750
31,Georgetown (Big East) ,30,15-15 ,524,676
32,Pacific (WCC) ,32,14-18 ,521,715
33,Hampton (MEAC) ,32,18-14 ,520,664
33,Col. of Charleston (CAA) ,33,26-7 ,520,685
33,Morgan St. (MEAC) ,31,13-18 ,520,719
36,Southern U. (SWAC) ,32,15-17 ,518,758
37,Purdue (Big Ten) ,34,28-6 ,517,696
38,Central Mich. (MAC) ,32,19-13 ,514,639
38,Prairie View (SWAC) ,33,16-17 ,514,764
40,Albany (NY) (America East) ,32,22-10 ,513,680
41,Wright St. (Horizon) ,34,25-9 ,512,714
42,Michigan St. (Big Ten) ,33,29-4 ,509,678
42,Memphis (AAC) ,31,19-12 ,509,734
44,SFA (Southland) ,31,25-6 ,508,723
44,Western Ky. (C-USA) ,31,22-9 ,508,723
46,Stanford (Pac-12) ,31,17-14 ,507,737
46,Nebraska (Big Ten) ,32,22-10 ,507,707
48,Ill.-Chicago (Horizon) ,32,17-15 ,506,696
48,Coastal Caro. (Sun Belt) ,32,14-18 ,506,702
48,Tulsa (AAC) ,30,19-11 ,506,691
51,Arizona (Pac-12) ,31,24-7 ,505,661
52,Green Bay (Horizon) ,33,13-20 ,504,670
