Rank,Team,GM,W-L,Orebs,RPG
1,Houston Baptist (Southland) ,31,6-25 ,477,15.39
2,Portland St. (Big Sky) ,32,20-12 ,466,14.56
3,Youngstown St. (Horizon) ,32,8-24 ,459,14.34
4,West Virginia (Big 12) ,31,22-9 ,440,14.19
5,North Carolina (ACC) ,32,23-9 ,449,14.03
6,UNCW (CAA) ,32,11-21 ,447,13.97
7,Oral Roberts (Summit League) ,32,11-21 ,445,13.91
8,Duke (ACC) ,31,25-6 ,426,13.74
9,Wagner (NEC) ,32,23-9 ,426,13.31
10,Morgan St. (MEAC) ,31,13-18 ,412,13.29
11,Bethune-Cookman (MEAC) ,32,18-14 ,424,13.25
12,Savannah St. (MEAC) ,31,15-16 ,410,13.23
13,Cincinnati (AAC) ,31,27-4 ,409,13.19
14,Southern U. (SWAC) ,32,15-17 ,422,13.19
15,California (Pac-12) ,31,8-23 ,408,13.16
16,Rutgers (Big Ten) ,34,15-19 ,447,13.15
17,Rider (MAAC) ,31,22-9 ,406,13.1
18,Lamar University (Southland) ,32,19-13 ,415,12.97
19,Austin Peay (OVC) ,32,18-14 ,414,12.94
20,Louisiana (Sun Belt) ,31,26-5 ,394,12.71
20,Alabama St. (SWAC) ,31,8-23 ,394,12.71
22,Jackson St. (SWAC) ,31,12-20 ,393,12.68
23,Ga. Southern (Sun Belt) ,31,20-11 ,390,12.58
24,New Mexico St. (WAC) ,30,25-5 ,376,12.53
25,Norfolk St. (MEAC) ,32,14-18 ,401,12.53
26,Kentucky (SEC) ,31,21-10 ,387,12.48
27,Illinois (Big Ten) ,32,14-18 ,398,12.44
27,Towson (CAA) ,32,18-14 ,398,12.44
29,Texas A&M (SEC) ,31,20-11 ,385,12.42
30,Oklahoma St. (Big 12) ,32,19-13 ,397,12.41
30,South Carolina (SEC) ,32,17-15 ,397,12.41
32,Northwestern St. (Southland) ,29,4-25 ,359,12.38
33,DePaul (Big East) ,31,11-20 ,383,12.35
34,Mississippi Val. (SWAC) ,32,4-28 ,395,12.34
34,Ole Miss (SEC) ,32,12-20 ,395,12.34
36,Duquesne (Atlantic 10) ,31,16-15 ,381,12.29
37,Georgia (SEC) ,31,17-14 ,379,12.23
38,Houston (AAC) ,30,24-6 ,366,12.2
38,Wichita St. (AAC) ,30,24-6 ,366,12.2
40,Grambling (SWAC) ,31,17-14 ,378,12.19
40,Auburn (SEC) ,31,25-6 ,378,12.19
40,Seton Hall (Big East) ,31,21-10 ,378,12.19
43,UC Irvine (Big West) ,32,16-16 ,390,12.19
43,NC State (ACC) ,32,21-11 ,390,12.19
45,Montana (Big Sky) ,30,23-7 ,364,12.13
46,Coastal Caro. (Sun Belt) ,32,14-18 ,388,12.13
47,Loyola Marymount (WCC) ,31,11-20 ,375,12.1
48,Syracuse (ACC) ,33,20-13 ,399,12.09
49,Sacred Heart (NEC) ,31,10-21 ,374,12.06
50,Sam Houston St. (Southland) ,31,18-13 ,372,12
51,Baylor (Big 12) ,31,18-13 ,371,11.97
52,Niagara (MAAC) ,32,19-13 ,382,11.94
53,UNCG (SoCon) ,34,27-7 ,405,11.91
54,Saint Louis (Atlantic 10) ,31,16-15 ,369,11.9
55,Grand Canyon (WAC) ,30,20-10 ,357,11.9
56,Robert Morris (NEC) ,33,16-17 ,392,11.88
57,Iowa (Big Ten) ,33,14-19 ,391,11.85
58,Old Dominion (C-USA) ,30,24-6 ,355,11.83
59,Missouri St. (MVC) ,33,18-15 ,390,11.82
60,Memphis (AAC) ,31,19-12 ,366,11.81
