Rank,Team,2017,Last 3,Last 1,Home,Away,2016
1,Villanova,1.197,1.267,1.119,1.217,1.184,1.153
2,St. Mary’s,1.175,1.068,1.149,1.193,1.156,1.154
3,Gonzaga,1.172,1.178,1.052,1.222,1.128,1.141
4,Purdue,1.16,1.142,1,1.192,1.126,1.106
5,Duke,1.158,1.055,0.932,1.206,1.114,1.136
6,Michigan St.,1.154,1.034,0.952,1.237,1.062,1.033
7,Wichita St,1.148,1.088,1.057,1.205,1.089,1.13
8,Davidson,1.143,1.205,0.895,1.208,1.105,1.034
9,Nevada,1.14,1.058,0.972,1.154,1.129,1.1
10,Arizona,1.139,1.125,1.165,1.174,1.109,1.113
11,Wm & Mary,1.138,1.207,1.098,1.209,1.087,1.093
12,Xavier,1.137,1.027,0.935,1.178,1.087,1.065
13,Kansas,1.137,1.195,1.26,1.198,1.075,1.133
14,TX Christian,1.135,0.961,0.916,1.179,1.079,1.063
15,Creighton,1.125,1.05,0.887,1.198,1.035,1.098
16,S Dakota St,1.121,1.084,1.192,1.159,1.099,1.066
17,Murray St,1.119,1.023,1.034,1.175,1.066,1.071
18,Vermont,1.117,1.04,1.012,1.131,1.109,1.101
19,Marquette,1.116,1.094,1.039,1.121,1.109,1.134
20,North Carolina,1.115,1.056,1.072,1.184,1.063,1.13
21,Arizona St,1.115,1.123,1.21,1.12,1.109,1.057
22,Toledo,1.114,1,0.953,1.116,1.113,1.069
23,Auburn,1.113,0.971,0.865,1.173,1.052,1.035
24,Belmont,1.113,1.136,0.775,1.163,1.065,1.084
25,Virginia Tech,1.111,0.978,0.955,1.154,1.054,1.106
26,LA Lafayette,1.109,0.991,1.041,1.144,1.084,1.076
27,Buffalo,1.108,1.154,1.097,1.123,1.096,1.023
28,Houston,1.107,1.071,0.875,1.167,1.055,1.089
29,Mercer,1.105,1.037,0.811,1.186,1.053,1.056
30,West Virginia,1.103,1.046,1.089,1.167,1.04,1.097
31,UCLA,1.102,1.09,0.941,1.126,1.078,1.189
32,Arkansas,1.101,1.096,1.08,1.139,1.062,1.081
33,Notre Dame,1.101,1.017,0.98,1.166,1.043,1.113
34,LSU,1.099,1.095,1.111,1.185,0.996,1.001
35,Col Charlestn,1.096,1.139,1.155,1.143,1.062,1.027
