Rank,Team,GM,W-L,Fouls,PFPG,DQ
1,Notre Dame (ACC) ,33,20-13 ,427,12.9,2
2,Loyola Chicago (MVC) ,33,28-5 ,456,13.8,0
3,Virginia (ACC) ,30,28-2 ,418,13.9,3
4,Presbyterian (Big South) ,32,11-21 ,462,14.4,5
5,George Washington (Atlantic 10) ,32,15-17 ,464,14.5,7
6,Western Ky. (C-USA) ,31,22-9 ,453,14.6,10
7,UAB (C-USA) ,32,20-12 ,474,14.8,7
8,Creighton (Big East) ,31,21-10 ,460,14.8,5
9,UNI (MVC) ,32,16-16 ,482,15.1,7
10,UCF (AAC) ,30,18-12 ,455,15.2,4
11,Vermont (America East) ,33,27-6 ,502,15.2,4
12,Davidson (Atlantic 10) ,29,18-11 ,442,15.2,8
13,North Florida (ASUN) ,33,14-19 ,505,15.3,11
14,Mt. St. Mary's (NEC) ,32,18-14 ,492,15.4,3
15,Chattanooga (SoCon) ,33,10-23 ,508,15.4,17
16,Kansas (Big 12) ,31,24-7 ,478,15.4,8
17,Elon (CAA) ,32,14-18 ,494,15.4,9
18,Western Ill. (Summit League) ,28,12-16 ,433,15.5,10
19,Minnesota (Big Ten) ,32,15-17 ,495,15.5,9
19,Southern Miss. (C-USA) ,32,15-17 ,495,15.5,5
21,Saint Joseph's (Atlantic 10) ,30,15-15 ,465,15.5,4
22,Purdue (Big Ten) ,34,28-6 ,528,15.5,3
23,Drake (MVC) ,32,16-16 ,497,15.5,12
24,Saint Mary's (CA) (WCC) ,33,28-5 ,514,15.6,6
25,Dartmouth (Ivy League) ,27,7-20 ,421,15.6,3
26,Michigan (Big Ten) ,35,28-7 ,546,15.6,6
27,Virginia Tech (ACC) ,32,21-11 ,502,15.7,11
28,North Carolina (ACC) ,32,23-9 ,504,15.8,2
29,Duke (ACC) ,31,25-6 ,490,15.8,12
30,Fordham (Atlantic 10) ,31,9-22 ,491,15.8,15
31,Old Dominion (C-USA) ,30,24-6 ,476,15.9,6
32,Clemson (ACC) ,30,22-8 ,477,15.9,5
33,Wright St. (Horizon) ,34,25-9 ,541,15.9,11
34,Tulsa (AAC) ,30,19-11 ,479,16,8
35,Maryland (Big Ten) ,32,19-13 ,513,16,5
36,Villanova (Big East) ,31,27-4 ,497,16,8
36,Cincinnati (AAC) ,31,27-4 ,497,16,1
38,Texas (Big 12) ,32,19-13 ,514,16.1,10
39,Omaha (Summit League) ,31,9-22 ,498,16.1,5
40,South Dakota St. (Summit League) ,34,28-6 ,547,16.1,10
41,Belmont (OVC) ,33,24-9 ,531,16.1,6
41,Furman (SoCon) ,33,23-10 ,531,16.1,5
43,Saint Francis (PA) (NEC) ,30,18-12 ,483,16.1,5
44,Ohio (MAC) ,31,14-17 ,500,16.1,11
45,Richmond (Atlantic 10) ,30,11-19 ,484,16.1,5
46,Central Mich. (MAC) ,32,19-13 ,517,16.2,11
47,Colgate (Patriot) ,32,19-13 ,518,16.2,5
48,Miami (FL) (ACC) ,30,22-8 ,486,16.2,5
49,Boston College (ACC) ,33,19-14 ,535,16.2,11
50,Georgia (SEC) ,31,17-14 ,503,16.2,7
51,Jacksonville (ASUN) ,33,15-18 ,536,16.2,5
52,Southern California (Pac-12) ,31,21-10 ,504,16.3,8
52,Eastern Mich. (MAC) ,31,20-11 ,504,16.3,11
54,Syracuse (ACC) ,33,20-13 ,538,16.3,18
55,Alabama A&M (SWAC) ,31,3-28 ,506,16.3,7
55,SMU (AAC) ,31,16-15 ,506,16.3,5
57,George Mason (Atlantic 10) ,31,15-16 ,507,16.4,9
58,Col. of Charleston (CAA) ,33,26-7 ,540,16.4,8
58,Oakland (Horizon) ,33,19-14 ,540,16.4,9
60,Dayton (Atlantic 10) ,30,14-16 ,491,16.4,9
60,Utah Valley (WAC) ,30,21-9 ,491,16.4,10
62,Radford (Big South) ,34,22-12 ,557,16.4,6
63,Iowa St. (Big 12) ,31,13-18 ,508,16.4,13
64,La.-Monroe (Sun Belt) ,30,16-14 ,492,16.4,9
