Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RBG,REB MAR
1,North Carolina (ACC) ,32,23-9 ,1365,42.7,1027,32.1,10.6
2,Michigan St. (Big Ten) ,33,29-4 ,1348,40.8,1005,30.5,10.4
3,Wichita St. (AAC) ,30,24-6 ,1222,40.7,928,30.9,9.8
4,Duke (ACC) ,31,25-6 ,1302,42,1012,32.6,9.4
5,Gonzaga (WCC) ,34,30-4 ,1357,39.9,1051,30.9,9
6,New Mexico St. (WAC) ,30,25-5 ,1233,41.1,974,32.5,8.6
7,Boise St. (MWC) ,30,23-7 ,1155,38.5,913,30.4,8.1
8,UC Irvine (Big West) ,32,16-16 ,1326,41.4,1074,33.6,7.9
9,Houston (AAC) ,30,24-6 ,1176,39.2,944,31.5,7.7
10,Cincinnati (AAC) ,31,27-4 ,1214,39.2,975,31.5,7.7
11,Sacred Heart (NEC) ,31,10-21 ,1239,40,1006,32.5,7.5
12,Louisiana (Sun Belt) ,31,26-5 ,1218,39.3,996,32.1,7.2
13,UAB (C-USA) ,32,20-12 ,1230,38.4,1001,31.3,7.2
14,Albany (NY) (America East) ,32,22-10 ,1191,37.2,964,30.1,7.1
15,Arizona (Pac-12) ,31,24-7 ,1126,36.3,907,29.3,7.1
16,Xavier (Big East) ,31,27-4 ,1180,38.1,962,31,7
17,UNCG (SoCon) ,34,27-7 ,1262,37.1,1032,30.4,6.8
18,Utah Valley (WAC) ,30,21-9 ,1141,38,940,31.3,6.7
19,TCU (Big 12) ,31,21-10 ,1133,36.5,931,30,6.5
20,Baylor (Big 12) ,31,18-13 ,1191,38.4,993,32,6.4
21,Idaho (Big Sky) ,30,22-8 ,1110,37,919,30.6,6.4
22,Denver (Summit League) ,30,15-15 ,1108,36.9,929,31,6
23,Coastal Caro. (Sun Belt) ,32,14-18 ,1243,38.8,1056,33,5.8
24,Missouri St. (MVC) ,33,18-15 ,1277,38.7,1085,32.9,5.8
25,FGCU (ASUN) ,34,23-11 ,1300,38.2,1103,32.4,5.8
26,Texas A&M (SEC) ,31,20-11 ,1279,41.3,1100,35.5,5.8
