Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,Virginia (ACC) ,30,28-2 ,1583,52.8
2,Cincinnati (AAC) ,31,27-4 ,1777,57.3
3,UCF (AAC) ,30,18-12 ,1839,61.3
4,UNI (MVC) ,32,16-16 ,1990,62.2
5,Loyola Chicago (MVC) ,33,28-5 ,2054,62.2
6,UNCG (SoCon) ,34,27-7 ,2121,62.4
7,Old Dominion (C-USA) ,30,24-6 ,1895,63.2
8,New Mexico St. (WAC) ,30,25-5 ,1897,63.2
9,Michigan (Big Ten) ,35,28-7 ,2224,63.5
10,Liberty (Big South) ,34,20-14 ,2163,63.6
11,SMU (AAC) ,31,16-15 ,1980,63.9
12,Evansville (MVC) ,32,17-15 ,2045,63.9
13,Vermont (America East) ,33,27-6 ,2121,64.3
14,Grand Canyon (WAC) ,30,20-10 ,1929,64.3
15,Radford (Big South) ,34,22-12 ,2188,64.4
16,Saint Mary's (CA) (WCC) ,33,28-5 ,2128,64.5
17,Texas Tech (Big 12) ,31,23-8 ,2000,64.5
18,Syracuse (ACC) ,33,20-13 ,2130,64.5
19,Bradley (MVC) ,33,20-13 ,2136,64.7
20,Michigan St. (Big Ten) ,33,29-4 ,2138,64.8
21,Rutgers (Big Ten) ,34,15-19 ,2204,64.8
22,Jacksonville St. (OVC) ,33,21-12 ,2142,64.9
23,Saint Louis (Atlantic 10) ,31,16-15 ,2016,65
24,Houston (AAC) ,30,24-6 ,1956,65.2
25,Clemson (ACC) ,30,22-8 ,1960,65.3
26,Texas St. (Sun Belt) ,32,15-17 ,2092,65.4
27,Murray St. (OVC) ,31,26-5 ,2032,65.5
28,Middle Tenn. (C-USA) ,30,24-6 ,1969,65.6
29,Purdue (Big Ten) ,34,28-6 ,2232,65.6
30,Wright St. (Horizon) ,34,25-9 ,2234,65.7
31,San Diego (WCC) ,31,18-13 ,2042,65.9
32,ETSU (SoCon) ,34,25-9 ,2241,65.9
33,Saint Peter's (MAAC) ,32,14-18 ,2111,66
34,Wisconsin (Big Ten) ,33,15-18 ,2177,66
35,Northern Ky. (Horizon) ,31,22-9 ,2046,66
36,Tennessee (SEC) ,30,23-7 ,1989,66.3
37,Navy (Patriot) ,32,20-12 ,2125,66.4
38,High Point (Big South) ,30,14-16 ,1993,66.4
39,Northwestern (Big Ten) ,32,15-17 ,2127,66.5
40,Missouri St. (MVC) ,33,18-15 ,2197,66.6
41,Ohio St. (Big Ten) ,32,24-8 ,2134,66.7
42,Harvard (Ivy League) ,29,17-12 ,1939,66.9
43,Maryland (Big Ten) ,32,19-13 ,2140,66.9
44,Penn St. (Big Ten) ,34,21-13 ,2275,66.9
45,Tennessee St. (OVC) ,30,15-15 ,2010,67
46,Georgia (SEC) ,31,17-14 ,2080,67.1
47,Gonzaga (WCC) ,34,30-4 ,2282,67.1
48,Eastern Mich. (MAC) ,31,20-11 ,2083,67.2
49,BYU (WCC) ,34,24-10 ,2286,67.2
50,New Hampshire (America East) ,31,10-21 ,2085,67.3
51,Utah Valley (WAC) ,30,21-9 ,2018,67.3
52,UC Irvine (Big West) ,32,16-16 ,2154,67.3
53,Miami (FL) (ACC) ,30,22-8 ,2025,67.5
54,Kansas St. (Big 12) ,31,21-10 ,2093,67.5
55,Sam Houston St. (Southland) ,31,18-13 ,2095,67.6
56,Rhode Island (Atlantic 10) ,29,23-6 ,1961,67.6
57,Holy Cross (Patriot) ,31,12-19 ,2099,67.7
58,Jackson St. (SWAC) ,31,12-20 ,2101,67.8
58,Mississippi St. (SEC) ,31,21-10 ,2101,67.8
60,Georgia Tech (ACC) ,32,13-19 ,2170,67.8
61,Montana (Big Sky) ,30,23-7 ,2038,67.9
62,Wagner (NEC) ,32,23-9 ,2176,68
63,Georgia St. (Sun Belt) ,31,21-10 ,2109,68
64,San Diego St. (MWC) ,29,19-10 ,1973,68
65,South Dakota (Summit League) ,34,26-8 ,2314,68.1
66,Texas (Big 12) ,32,19-13 ,2178,68.1
67,Idaho (Big Sky) ,30,22-8 ,2042,68.1
68,Notre Dame (ACC) ,33,20-13 ,2247,68.1
69,Davidson (Atlantic 10) ,29,18-11 ,1975,68.1
70,La.-Monroe (Sun Belt) ,30,16-14 ,2044,68.1
71,Valparaiso (MVC) ,32,15-17 ,2182,68.2
71,Albany (NY) (America East) ,32,22-10 ,2182,68.2
73,Missouri (SEC) ,31,20-11 ,2117,68.3
74,UC Davis (Big West) ,30,21-9 ,2051,68.4
75,Eastern Ill. (OVC) ,31,12-19 ,2120,68.4
76,San Francisco (WCC) ,33,18-15 ,2259,68.5
77,Milwaukee (Horizon) ,33,16-17 ,2260,68.5
77,Furman (SoCon) ,33,23-10 ,2260,68.5
79,Boise St. (MWC) ,30,23-7 ,2055,68.5
80,CSU Bakersfield (WAC) ,29,12-17 ,1987,68.5
81,Southeastern La. (Southland) ,31,21-10 ,2130,68.7
82,Nebraska (Big Ten) ,32,22-10 ,2199,68.7
83,SFA (Southland) ,31,25-6 ,2131,68.7
84,Col. of Charleston (CAA) ,33,26-7 ,2269,68.8
85,Utah (Pac-12) ,29,19-10 ,1994,68.8
86,Northeastern (CAA) ,33,23-10 ,2270,68.8
87,Charleston So. (Big South) ,31,15-16 ,2133,68.8
88,Mercer (SoCon) ,32,18-14 ,2204,68.9
89,UAB (C-USA) ,32,20-12 ,2205,68.9
90,West Virginia (Big 12) ,31,22-9 ,2137,68.9
90,Fresno St. (MWC) ,31,21-10 ,2137,68.9
92,South Carolina (SEC) ,32,17-15 ,2208,69
93,Hawaii (Big West) ,29,17-12 ,2003,69.1
94,Southern Ill. (MVC) ,33,20-13 ,2280,69.1
95,Florida (SEC) ,31,20-11 ,2142,69.1
96,Penn (Ivy League) ,30,22-8 ,2076,69.2
97,Belmont (OVC) ,33,24-9 ,2284,69.2
98,South Ala. (Sun Belt) ,32,14-18 ,2218,69.3
99,Lamar University (Southland) ,32,19-13 ,2220,69.4
100,Duke (ACC) ,31,25-6 ,2153,69.5
101,Baylor (Big 12) ,31,18-13 ,2154,69.5
102,Alabama (SEC) ,31,17-14 ,2160,69.7
103,Hartford (America East) ,32,19-13 ,2230,69.7
104,UMBC (America East) ,33,23-10 ,2300,69.7
105,New Orleans (Southland) ,30,15-15 ,2092,69.7
106,UC Riverside (Big West) ,30,9-21 ,2093,69.8
107,Texas A&M (SEC) ,31,20-11 ,2163,69.8
108,Duquesne (Atlantic 10) ,31,16-15 ,2164,69.8
109,Miami (OH) (MAC) ,32,16-16 ,2236,69.9
110,UC Santa Barbara (Big West) ,30,22-8 ,2097,69.9
110,Temple (AAC) ,30,16-14 ,2097,69.9
112,Wofford (SoCon) ,33,21-12 ,2307,69.9
113,Coastal Caro. (Sun Belt) ,32,14-18 ,2241,70
114,Little Rock (Sun Belt) ,32,7-25 ,2242,70.1
115,Fla. Atlantic (C-USA) ,31,12-19 ,2172,70.1
115,N.C. Central (MEAC) ,31,16-15 ,2172,70.1
117,Colgate (Patriot) ,32,19-13 ,2243,70.1
118,Manhattan (MAAC) ,31,14-17 ,2175,70.2
119,Indiana (Big Ten) ,31,16-15 ,2178,70.3
120,George Washington (Atlantic 10) ,32,15-17 ,2249,70.3
120,Stony Brook (America East) ,32,13-19 ,2249,70.3
122,Fordham (Atlantic 10) ,31,9-22 ,2179,70.3
123,Louisville (ACC) ,32,20-12 ,2251,70.3
124,Binghamton (America East) ,31,11-20 ,2181,70.4
124,South Fla. (AAC) ,31,10-21 ,2181,70.4
126,St. Bonaventure (Atlantic 10) ,30,24-6 ,2113,70.4
127,Weber St. (Big Sky) ,30,20-10 ,2115,70.5
128,Ga. Southern (Sun Belt) ,31,20-11 ,2187,70.5
129,Campbell (Big South) ,31,16-15 ,2191,70.7
130,Robert Morris (NEC) ,33,16-17 ,2334,70.7
131,North Dakota St. (Summit League) ,32,15-17 ,2264,70.8
132,Oregon St. (Pac-12) ,30,15-15 ,2124,70.8
133,Canisius (MAAC) ,32,21-11 ,2266,70.8
134,Wichita St. (AAC) ,30,24-6 ,2125,70.8
135,UTEP (C-USA) ,31,11-20 ,2197,70.9
136,Western Ky. (C-USA) ,31,22-9 ,2198,70.9
137,Louisiana Tech (C-USA) ,32,17-15 ,2269,70.9
138,A&M-Corpus Christi (Southland) ,29,11-18 ,2057,70.9
139,Abilene Christian (Southland) ,31,16-15 ,2199,70.9
139,Louisiana (Sun Belt) ,31,26-5 ,2199,70.9
141,Tulsa (AAC) ,30,19-11 ,2130,71
142,Presbyterian (Big South) ,32,11-21 ,2273,71
143,Cal St. Fullerton (Big West) ,28,17-11 ,1990,71.1
144,Kansas (Big 12) ,31,24-7 ,2205,71.1
145,Villanova (Big East) ,31,27-4 ,2206,71.2
