Rank,Team,GM,W-L,PTS,PPG
1,Villanova (Big East) ,31,27-4 ,2703,87.2
2,Savannah St. (MEAC) ,31,15-16 ,2698,87
3,Portland St. (Big Sky) ,31,19-12 ,2690,86.8
4,Oklahoma (Big 12) ,30,18-12 ,2580,86
5,Buffalo (MAC) ,31,23-8 ,2640,85.2
6,Duke (ACC) ,31,25-6 ,2638,85.1
7,William & Mary (CAA) ,31,19-12 ,2636,85
8,South Dakota St. (Summit League) ,34,28-6 ,2885,84.9
9,Creighton (Big East) ,31,21-10 ,2629,84.8
10,Xavier (Big East) ,31,27-4 ,2621,84.5
11,Gonzaga (WCC) ,34,30-4 ,2873,84.5
12,Marshall (C-USA) ,31,21-10 ,2618,84.5
13,Louisiana (Sun Belt) ,31,26-5 ,2605,84
13,Auburn (SEC) ,31,25-6 ,2605,84
15,Niagara (MAAC) ,32,19-13 ,2683,83.8
16,TCU (Big 12) ,31,21-10 ,2592,83.6
17,Nevada (MWC) ,32,26-6 ,2673,83.5
18,Arizona St. (Pac-12) ,30,20-10 ,2504,83.5
19,UNLV (MWC) ,31,19-12 ,2582,83.3
20,Wichita St. (AAC) ,30,24-6 ,2493,83.1
21,Nicholls St. (Southland) ,31,21-10 ,2575,83.1
22,North Carolina (ACC) ,31,22-9 ,2572,83
23,Lipscomb (ASUN) ,32,23-9 ,2642,82.6
24,The Citadel (SoCon) ,32,11-21 ,2639,82.5
25,New Mexico (MWC) ,31,17-14 ,2552,82.3
26,UCLA (Pac-12) ,30,20-10 ,2466,82.2
27,Bethune-Cookman (MEAC) ,31,18-13 ,2545,82.1
28,Fort Wayne (Summit League) ,32,18-14 ,2627,82.1
29,Arkansas (SEC) ,31,21-10 ,2542,82
30,Florida St. (ACC) ,30,20-10 ,2459,82
31,Marquette (Big East) ,30,18-12 ,2456,81.9
32,Central Ark. (Southland) ,31,16-15 ,2537,81.8
33,SFA (Southland) ,31,25-6 ,2536,81.8
34,Rider (MAAC) ,31,22-9 ,2534,81.7
35,FGCU (ASUN) ,34,23-11 ,2779,81.7
36,Kansas (Big 12) ,31,24-7 ,2525,81.5
37,Purdue (Big Ten) ,34,28-6 ,2759,81.1
38,Arizona (Pac-12) ,31,24-7 ,2514,81.1
39,Bucknell (Patriot) ,33,24-9 ,2676,81.1
40,NC State (ACC) ,31,21-10 ,2512,81
41,South Dakota (Summit League) ,34,26-8 ,2755,81
42,Michigan St. (Big Ten) ,33,29-4 ,2672,81
43,North Florida (ASUN) ,33,14-19 ,2668,80.8
44,West Virginia (Big 12) ,31,22-9 ,2493,80.4
45,Northern Colo. (Big Sky) ,32,21-11 ,2571,80.3
46,Toledo (MAC) ,31,21-10 ,2486,80.2
46,Virginia Tech (ACC) ,31,21-10 ,2486,80.2
48,Wyoming (MWC) ,31,19-12 ,2484,80.1
49,Iona (MAAC) ,33,20-13 ,2633,79.8
50,Iowa (Big Ten) ,33,14-19 ,2630,79.7
51,Saint Francis (PA) (NEC) ,30,18-12 ,2389,79.6
52,Butler (Big East) ,31,19-12 ,2468,79.6
53,Hofstra (CAA) ,31,19-12 ,2464,79.5
53,Winthrop (Big South) ,31,19-12 ,2464,79.5
55,UNCW (CAA) ,32,11-21 ,2542,79.4
56,Furman (SoCon) ,33,23-10 ,2619,79.4
57,Weber St. (Big Sky) ,30,20-10 ,2379,79.3
58,Seton Hall (Big East) ,31,21-10 ,2454,79.2
59,Murray St. (OVC) ,31,26-5 ,2447,78.9
60,Western Ky. (C-USA) ,31,22-9 ,2444,78.8
61,UTSA (C-USA) ,31,18-13 ,2443,78.8
62,Oregon (Pac-12) ,31,20-11 ,2440,78.7
63,Detroit Mercy (Horizon) ,32,8-24 ,2516,78.6
64,Utah Valley (WAC) ,30,21-9 ,2356,78.5
65,Boise St. (MWC) ,30,23-7 ,2353,78.4
