Rank,Team,GM,W-L,ST,STPG
1,SFA (Southland) ,31,25-6 ,326,10.5
2,Portland St. (Big Sky) ,32,20-12 ,314,9.8
3,Nicholls St. (Southland) ,31,21-10 ,296,9.5
4,Savannah St. (MEAC) ,31,15-16 ,294,9.5
5,The Citadel (SoCon) ,32,11-21 ,301,9.4
6,Fordham (Atlantic 10) ,31,9-22 ,283,9.1
7,Eastern Mich. (MAC) ,31,20-11 ,272,8.8
8,Lamar University (Southland) ,32,19-13 ,280,8.8
9,St. John's (NY) (Big East) ,32,16-16 ,276,8.6
10,Youngstown St. (Horizon) ,32,8-24 ,266,8.3
11,NJIT (ASUN) ,30,14-16 ,246,8.2
12,Fort Wayne (Summit League) ,32,18-14 ,261,8.2
12,Stony Brook (America East) ,32,13-19 ,261,8.2
14,West Virginia (Big 12) ,31,22-9 ,251,8.1
15,Washington (Pac-12) ,31,20-11 ,250,8.1
16,Abilene Christian (Southland) ,31,16-15 ,249,8
17,Ark.-Pine Bluff (SWAC) ,32,13-20 ,257,8
18,Furman (SoCon) ,33,23-10 ,265,8
19,Montana (Big Sky) ,30,23-7 ,239,8
20,Western Caro. (SoCon) ,32,13-19 ,254,7.9
21,North Dakota (Big Sky) ,31,12-19 ,243,7.8
22,Rhode Island (Atlantic 10) ,29,23-6 ,227,7.8
23,Miami (OH) (MAC) ,32,16-16 ,250,7.8
24,Kansas St. (Big 12) ,31,21-10 ,242,7.8
25,ETSU (SoCon) ,34,25-9 ,265,7.8
26,Robert Morris (NEC) ,33,16-17 ,256,7.8
27,UNCG (SoCon) ,34,27-7 ,263,7.7
28,Grambling (SWAC) ,31,17-14 ,239,7.7
29,Richmond (Atlantic 10) ,30,11-19 ,231,7.7
30,Tennessee Tech (OVC) ,33,19-14 ,252,7.6
31,Old Dominion (C-USA) ,30,24-6 ,229,7.6
32,UTRGV (WAC) ,31,15-16 ,235,7.6
32,Cincinnati (AAC) ,31,27-4 ,235,7.6
32,Rider (MAAC) ,31,22-9 ,235,7.6
32,Duke (ACC) ,31,25-6 ,235,7.6
36,Prairie View (SWAC) ,33,16-17 ,250,7.6
37,FIU (C-USA) ,32,14-18 ,242,7.6
38,Texas Tech (Big 12) ,31,23-8 ,234,7.5
39,UMBC (America East) ,33,23-10 ,249,7.5
40,Louisiana (Sun Belt) ,31,26-5 ,233,7.5
40,Indiana St. (MVC) ,31,13-18 ,233,7.5
42,Southern Ill. (MVC) ,33,20-13 ,248,7.5
43,Illinois (Big Ten) ,32,14-18 ,240,7.5
43,NC State (ACC) ,32,21-11 ,240,7.5
45,New Mexico (MWC) ,31,17-14 ,232,7.5
46,LSU (SEC) ,30,17-13 ,224,7.5
47,Jackson St. (SWAC) ,31,12-20 ,231,7.5
47,Auburn (SEC) ,31,25-6 ,231,7.5
47,Northern Ky. (Horizon) ,31,22-9 ,231,7.5
50,Penn St. (Big Ten) ,34,21-13 ,252,7.4
51,New Orleans (Southland) ,30,15-15 ,222,7.4
51,High Point (Big South) ,30,14-16 ,222,7.4
53,SMU (AAC) ,31,16-15 ,229,7.4
53,Boston U. (Patriot) ,31,15-16 ,229,7.4
55,VMI (SoCon) ,30,9-21 ,221,7.4
56,Western Ky. (C-USA) ,31,22-9 ,228,7.4
57,Valparaiso (MVC) ,32,15-17 ,235,7.3
58,Georgia St. (Sun Belt) ,31,21-10 ,227,7.3
59,UNC Asheville (Big South) ,33,21-12 ,241,7.3
60,FGCU (ASUN) ,34,23-11 ,248,7.3
61,St. Francis Brooklyn (NEC) ,31,13-18 ,225,7.3
62,Syracuse (ACC) ,33,20-13 ,239,7.2
63,American (Patriot) ,30,6-24 ,217,7.2
64,Charleston So. (Big South) ,31,15-16 ,224,7.2
65,Kennesaw St. (ASUN) ,30,10-20 ,216,7.2
66,Samford (SoCon) ,32,10-22 ,230,7.2
67,UC Davis (Big West) ,30,21-9 ,215,7.2
68,Tennessee St. (OVC) ,30,15-15 ,214,7.1
69,Chicago St. (WAC) ,31,3-28 ,221,7.1
70,Stetson (ASUN) ,32,12-20 ,228,7.1
70,James Madison (CAA) ,32,10-22 ,228,7.1
72,Fairleigh Dickinson (NEC) ,31,13-18 ,220,7.1
72,UT Arlington (Sun Belt) ,31,19-12 ,220,7.1
74,St. Bonaventure (Atlantic 10) ,30,24-6 ,212,7.1
75,Louisville (ACC) ,32,20-12 ,226,7.1
76,Rutgers (Big Ten) ,34,15-19 ,240,7.1
77,Loyola Maryland (Patriot) ,31,9-22 ,218,7
78,Florida (SEC) ,31,20-11 ,217,7
78,Southeastern La. (Southland) ,31,21-10 ,217,7
78,UMass Lowell (America East) ,30,12-18 ,210,7
81,Morgan St. (MEAC) ,31,13-18 ,216,7
81,Loyola Marymount (WCC) ,31,11-20 ,216,7
83,Southern Miss. (C-USA) ,32,15-17 ,222,6.9
84,Butler (Big East) ,31,19-12 ,215,6.9
84,Providence (Big East) ,31,19-12 ,215,6.9
86,Mt. St. Mary's (NEC) ,32,18-14 ,221,6.9
86,Georgia Tech (ACC) ,32,13-19 ,221,6.9
88,Fresno St. (MWC) ,31,21-10 ,214,6.9
88,UT Martin (OVC) ,31,10-21 ,214,6.9
88,California (Pac-12) ,31,8-23 ,214,6.9
91,South Dakota (Summit League) ,34,26-8 ,234,6.9
92,Ga. Southern (Sun Belt) ,31,20-11 ,213,6.9
93,Green Bay (Horizon) ,33,13-20 ,226,6.8
93,Jacksonville (ASUN) ,33,15-18 ,226,6.8
95,Marshall (C-USA) ,31,21-10 ,212,6.8
96,IUPUI (Horizon) ,30,11-19 ,205,6.8
96,Oregon St. (Pac-12) ,30,15-15 ,205,6.8
98,Ill.-Chicago (Horizon) ,32,17-15 ,218,6.8
98,Canisius (MAAC) ,32,21-11 ,218,6.8
100,Winthrop (Big South) ,31,19-12 ,211,6.8
100,Murray St. (OVC) ,31,26-5 ,211,6.8
102,Virginia (ACC) ,30,28-2 ,204,6.8
103,A&M-Corpus Christi (Southland) ,29,11-18 ,197,6.8
104,Iona (MAAC) ,33,20-13 ,224,6.8
105,Saint Francis (PA) (NEC) ,30,18-12 ,203,6.8
105,Temple (AAC) ,30,16-14 ,203,6.8
107,Mississippi St. (SEC) ,31,21-10 ,209,6.7
108,Oregon (Pac-12) ,32,21-11 ,215,6.7
108,Arkansas St. (Sun Belt) ,32,11-21 ,215,6.7
110,Florida St. (ACC) ,31,20-11 ,208,6.7
111,Oklahoma St. (Big 12) ,32,19-13 ,214,6.7
112,Ohio (MAC) ,31,14-17 ,207,6.7
112,Villanova (Big East) ,31,27-4 ,207,6.7
114,Northeastern (CAA) ,33,23-10 ,220,6.7
115,Northern Ill. (MAC) ,32,13-19 ,213,6.7
115,Long Beach St. (Big West) ,32,15-17 ,213,6.7
117,Wright St. (Horizon) ,34,25-9 ,226,6.6
118,Houston Baptist (Southland) ,31,6-25 ,206,6.6
119,Loyola Chicago (MVC) ,33,28-5 ,219,6.6
120,Miami (FL) (ACC) ,30,22-8 ,199,6.6
121,Wyoming (MWC) ,32,20-12 ,212,6.6
121,Detroit Mercy (Horizon) ,32,8-24 ,212,6.6
123,Campbell (Big South) ,31,16-15 ,205,6.6
124,Longwood (Big South) ,33,7-26 ,218,6.6
125,Cleveland St. (Horizon) ,35,12-23 ,231,6.6
126,Wagner (NEC) ,32,23-9 ,211,6.6
126,Austin Peay (OVC) ,32,18-14 ,211,6.6
126,Saint Peter's (MAAC) ,32,14-18 ,211,6.6
129,Kansas (Big 12) ,31,24-7 ,204,6.6
129,TCU (Big 12) ,31,21-10 ,204,6.6
129,Oklahoma (Big 12) ,31,18-13 ,204,6.6
129,Arizona St. (Pac-12) ,31,20-11 ,204,6.6
133,Central Ark. (Southland) ,32,17-15 ,210,6.6
134,Columbia (Ivy League) ,27,8-19 ,177,6.6
135,Illinois St. (MVC) ,33,18-15 ,216,6.5
135,Wofford (SoCon) ,33,21-12 ,216,6.5
137,La.-Monroe (Sun Belt) ,30,16-14 ,196,6.5
138,Central Mich. (MAC) ,32,19-13 ,209,6.5
138,Towson (CAA) ,32,18-14 ,209,6.5
138,Western Mich. (MAC) ,32,17-15 ,209,6.5
141,Alabama (SEC) ,31,17-14 ,202,6.5
142,Bradley (MVC) ,33,20-13 ,214,6.5
143,Air Force (MWC) ,31,12-19 ,201,6.5
143,Seton Hall (Big East) ,31,21-10 ,201,6.5
145,San Diego St. (MWC) ,29,19-10 ,188,6.5
146,Lipscomb (ASUN) ,32,23-9 ,207,6.5
147,DePaul (Big East) ,31,11-20 ,200,6.5
147,UMKC (WAC) ,31,10-21 ,200,6.5
149,Brown (Ivy League) ,27,11-16 ,174,6.4
150,Gonzaga (WCC) ,34,30-4 ,219,6.4
151,Maine (America East) ,32,6-26 ,206,6.4
151,Navy (Patriot) ,32,20-12 ,206,6.4
153,Yale (Ivy League) ,30,16-14 ,193,6.4
153,Saint Joseph's (Atlantic 10) ,30,15-15 ,193,6.4
155,Indiana (Big Ten) ,31,16-15 ,199,6.4
156,BYU (WCC) ,34,24-10 ,218,6.4
157,Houston (AAC) ,30,24-6 ,192,6.4
158,Fairfield (MAAC) ,33,17-16 ,211,6.4
159,Arkansas (SEC) ,31,21-10 ,198,6.4
159,VCU (Atlantic 10) ,31,17-14 ,198,6.4
161,Cal St. Fullerton (Big West) ,28,17-11 ,178,6.4
162,Monmouth (MAAC) ,31,11-20 ,197,6.4
163,Tennessee (SEC) ,30,23-7 ,190,6.3
164,Buffalo (MAC) ,31,23-8 ,196,6.3
165,UTSA (C-USA) ,32,19-13 ,202,6.3
165,Bethune-Cookman (MEAC) ,32,18-14 ,202,6.3
167,Middle Tenn. (C-USA) ,30,24-6 ,189,6.3
168,Radford (Big South) ,34,22-12 ,214,6.3
169,Grand Canyon (WAC) ,30,20-10 ,188,6.3
170,Michigan (Big Ten) ,35,28-7 ,219,6.3
171,Ole Miss (SEC) ,32,12-20 ,200,6.3
171,Alcorn (SWAC) ,32,11-21 ,200,6.3
173,Holy Cross (Patriot) ,31,12-19 ,193,6.2
