Rank,Name,GM,W-L,3FG,3FGA
1,The Citadel (SoCon) ,32,11-21 ,386,1133
2,Savannah St. (MEAC) ,31,15-16 ,383,1272
3,Belmont (OVC) ,33,24-9 ,378,1005
4,South Dakota St. (Summit League) ,34,28-6 ,361,896
5,North Florida (ASUN) ,33,14-19 ,357,945
6,Villanova (Big East) ,31,27-4 ,350,887
7,New Mexico (MWC) ,31,17-14 ,345,914
8,Marquette (Big East) ,31,19-12 ,343,826
9,Wofford (SoCon) ,33,21-12 ,342,834
10,Washington St. (Pac-12) ,31,12-19 ,341,905
11,Furman (SoCon) ,33,23-10 ,338,950
12,William & Mary (CAA) ,31,19-12 ,337,777
12,Elon (CAA) ,32,14-18 ,337,966
14,UMBC (America East) ,33,23-10 ,336,872
15,Creighton (Big East) ,31,21-10 ,328,866
15,USC Upstate (ASUN) ,32,7-25 ,328,952
15,Fort Wayne (Summit League) ,32,18-14 ,328,892
15,UNCG (SoCon) ,34,27-7 ,328,915
19,UTSA (C-USA) ,32,19-13 ,327,901
20,Purdue (Big Ten) ,34,28-6 ,326,776
21,Mt. St. Mary's (NEC) ,32,18-14 ,323,853
22,Michigan (Big Ten) ,35,28-7 ,320,868
23,Iona (MAAC) ,33,20-13 ,319,822
24,Kansas (Big 12) ,31,24-7 ,311,782
24,Nevada (MWC) ,32,26-6 ,311,776
26,Davidson (Atlantic 10) ,29,18-11 ,309,804
26,Gonzaga (WCC) ,34,30-4 ,309,826
28,Marshall (C-USA) ,31,21-10 ,308,882
29,Central Mich. (MAC) ,32,19-13 ,306,900
30,Auburn (SEC) ,31,25-6 ,304,819
30,Toledo (MAC) ,31,21-10 ,304,748
32,Fairfield (MAAC) ,33,17-16 ,303,893
32,Quinnipiac (MAAC) ,33,12-21 ,303,893
34,Northeastern (CAA) ,33,23-10 ,302,804
34,Buffalo (MAC) ,31,23-8 ,302,819
36,Illinois St. (MVC) ,33,18-15 ,301,883
37,Colgate (Patriot) ,32,19-13 ,299,827
38,Canisius (MAAC) ,32,21-11 ,297,845
39,Winthrop (Big South) ,31,19-12 ,296,792
39,Oklahoma (Big 12) ,31,18-13 ,296,816
39,Akron (MAC) ,31,14-17 ,296,826
39,Utah St. (MWC) ,32,16-16 ,296,821
43,Green Bay (Horizon) ,33,13-20 ,295,813
43,Wyoming (MWC) ,32,20-12 ,295,855
43,Army West Point (Patriot) ,30,13-17 ,295,771
46,Cleveland St. (Horizon) ,35,12-23 ,294,863
46,North Dakota St. (Summit League) ,32,15-17 ,294,778
48,Lehigh (Patriot) ,30,16-14 ,293,721
49,Georgia St. (Sun Belt) ,31,21-10 ,291,754
50,Portland St. (Big Sky) ,32,20-12 ,290,843
50,Missouri (SEC) ,31,20-11 ,290,750
52,Boise St. (MWC) ,30,23-7 ,289,754
52,Oregon (Pac-12) ,32,21-11 ,289,816
52,Appalachian St. (Sun Belt) ,32,15-17 ,289,838
52,Samford (SoCon) ,32,10-22 ,289,774
52,Vanderbilt (SEC) ,32,12-20 ,289,819
52,Southeast Mo. St. (OVC) ,31,14-17 ,289,738
58,Princeton (Ivy League) ,29,13-16 ,287,767
58,Troy (Sun Belt) ,32,16-16 ,287,837
60,Notre Dame (ACC) ,33,20-13 ,284,766
60,Massachusetts (Atlantic 10) ,32,13-19 ,284,716
62,Campbell (Big South) ,31,16-15 ,283,735
63,Boston College (ACC) ,33,19-14 ,282,779
63,Eastern Wash. (Big Sky) ,31,18-13 ,282,752
65,Detroit Mercy (Horizon) ,32,8-24 ,281,815
65,Seattle U (WAC) ,31,19-12 ,281,769
67,Marist (MAAC) ,31,6-25 ,280,802
67,Virginia Tech (ACC) ,32,21-11 ,280,727
69,Miami (OH) (MAC) ,32,16-16 ,279,823
69,Florida (SEC) ,31,20-11 ,279,746
71,UCLA (Pac-12) ,30,20-10 ,278,721
71,Drake (MVC) ,32,16-16 ,278,752
73,Wichita St. (AAC) ,30,24-6 ,277,717
73,UMKC (WAC) ,31,10-21 ,277,823
73,Arizona St. (Pac-12) ,31,20-11 ,277,761
73,Northern Colo. (Big Sky) ,32,21-11 ,277,799
73,Louisiana Tech (C-USA) ,32,17-15 ,277,732
73,Michigan St. (Big Ten) ,33,29-4 ,277,671
79,Chattanooga (SoCon) ,33,10-23 ,276,776
79,Presbyterian (Big South) ,32,11-21 ,276,772
79,Weber St. (Big Sky) ,30,20-10 ,276,658
82,Liberty (Big South) ,34,20-14 ,275,736
82,Oakland (Horizon) ,33,19-14 ,275,782
84,UT Arlington (Sun Belt) ,31,19-12 ,273,753
84,West Virginia (Big 12) ,31,22-9 ,273,782
84,Mercer (SoCon) ,32,18-14 ,273,705
87,San Francisco (WCC) ,33,18-15 ,272,812
87,LIU Brooklyn (NEC) ,34,18-16 ,272,789
89,La.-Monroe (Sun Belt) ,30,16-14 ,271,742
89,St. Francis Brooklyn (NEC) ,31,13-18 ,271,783
91,Louisiana (Sun Belt) ,31,26-5 ,270,737
91,Indiana St. (MVC) ,31,13-18 ,270,749
93,Niagara (MAAC) ,32,19-13 ,269,737
93,Columbia (Ivy League) ,27,8-19 ,269,733
93,Bucknell (Patriot) ,34,25-9 ,269,784
96,Idaho (Big Sky) ,30,22-8 ,268,651
96,Howard (MEAC) ,33,10-23 ,268,772
98,North Carolina (ACC) ,32,23-9 ,267,722
99,Houston (AAC) ,30,24-6 ,266,680
99,SMU (AAC) ,31,16-15 ,266,693
99,Utah (Pac-12) ,29,19-10 ,266,731
99,Oklahoma St. (Big 12) ,32,19-13 ,266,761
103,Coppin St. (MEAC) ,32,5-27 ,265,869
103,Penn (Ivy League) ,30,22-8 ,265,761
103,Central Ark. (Southland) ,32,17-15 ,265,734
106,TCU (Big 12) ,31,21-10 ,264,660
106,Murray St. (OVC) ,31,26-5 ,264,696
106,Cal Poly (Big West) ,30,9-21 ,264,730
109,UNC Asheville (Big South) ,33,21-12 ,263,672
109,Wagner (NEC) ,32,23-9 ,263,739
109,Lafayette (Patriot) ,31,10-21 ,263,708
109,Radford (Big South) ,34,22-12 ,263,752
113,Hartford (America East) ,32,19-13 ,261,763
114,Hofstra (CAA) ,31,19-12 ,260,693
114,Duke (ACC) ,31,25-6 ,260,685
114,Rice (C-USA) ,31,7-24 ,260,818
114,Lipscomb (ASUN) ,32,23-9 ,260,785
118,San Diego (WCC) ,31,18-13 ,259,726
118,Bryant (NEC) ,31,3-28 ,259,755
118,VCU (Atlantic 10) ,31,17-14 ,259,730
121,Ga. Southern (Sun Belt) ,31,20-11 ,258,745
121,Pittsburgh (ACC) ,32,8-24 ,258,795
123,Southern California (Pac-12) ,31,21-10 ,257,679
123,Butler (Big East) ,31,19-12 ,257,713
123,Montana St. (Big Sky) ,32,13-19 ,257,731
126,Saint Mary's (CA) (WCC) ,33,28-5 ,255,631
126,Portland (WCC) ,32,10-22 ,255,665
126,Northwestern (Big Ten) ,32,15-17 ,255,720
129,Duquesne (Atlantic 10) ,31,16-15 ,254,725
129,Col. of Charleston (CAA) ,33,26-7 ,254,698
129,Omaha (Summit League) ,31,9-22 ,254,694
132,Saint Peter's (MAAC) ,32,14-18 ,253,750
132,Northern Ky. (Horizon) ,31,22-9 ,253,728
132,Nicholls St. (Southland) ,31,21-10 ,253,707
132,Vermont (America East) ,33,27-6 ,253,628
136,South Ala. (Sun Belt) ,32,14-18 ,252,779
136,New Hampshire (America East) ,31,10-21 ,252,776
136,Iowa (Big Ten) ,33,14-19 ,252,672
136,Penn St. (Big Ten) ,34,21-13 ,252,657
136,Idaho St. (Big Sky) ,30,14-16 ,252,637
136,NC State (ACC) ,32,21-11 ,252,677
142,Ole Miss (SEC) ,32,12-20 ,251,788
143,Stetson (ASUN) ,32,12-20 ,250,726
143,Air Force (MWC) ,31,12-19 ,250,755
143,North Texas (C-USA) ,32,15-17 ,250,712
146,Stony Brook (America East) ,32,13-19 ,249,757
146,Lamar University (Southland) ,32,19-13 ,249,725
146,Clemson (ACC) ,30,22-8 ,249,673
149,Florida St. (ACC) ,31,20-11 ,248,706
149,Norfolk St. (MEAC) ,32,14-18 ,248,689
151,Yale (Ivy League) ,30,16-14 ,247,734
151,Louisville (ACC) ,32,20-12 ,247,670
151,Arkansas (SEC) ,31,21-10 ,247,614
154,Loyola Chicago (MVC) ,33,28-5 ,246,618
155,Temple (AAC) ,30,16-14 ,245,711
155,LSU (SEC) ,30,17-13 ,245,695
155,Tulsa (AAC) ,30,19-11 ,245,694
158,Texas Southern (SWAC) ,32,13-19 ,244,686
158,FGCU (ASUN) ,34,23-11 ,244,672
158,ETSU (SoCon) ,34,25-9 ,244,711
158,UNCW (CAA) ,32,11-21 ,244,705
158,Ohio (MAC) ,31,14-17 ,244,661
158,Xavier (Big East) ,31,27-4 ,244,656
164,Dayton (Atlantic 10) ,30,14-16 ,243,715
164,Saint Francis (PA) (NEC) ,30,18-12 ,243,654
166,Robert Morris (NEC) ,33,16-17 ,242,729
166,Tennessee Tech (OVC) ,33,19-14 ,242,697
168,Wake Forest (ACC) ,31,11-20 ,241,644
168,Bethune-Cookman (MEAC) ,32,18-14 ,241,759
168,Bowling Green (MAC) ,32,16-16 ,241,690
168,Prairie View (SWAC) ,33,16-17 ,241,732
172,Kent St. (MAC) ,32,16-16 ,240,736
172,UC Santa Barbara (Big West) ,30,22-8 ,240,629
174,Utah Valley (WAC) ,30,21-9 ,239,617
174,Manhattan (MAAC) ,31,14-17 ,239,598
174,Ball St. (MAC) ,31,19-12 ,239,703
174,Alcorn (SWAC) ,32,11-21 ,239,697
174,American (Patriot) ,30,6-24 ,239,709
179,Saint Joseph's (Atlantic 10) ,30,15-15 ,237,719
179,Rider (MAAC) ,31,22-9 ,237,656
