Rank,Team,GM,W-L,AST
1,Michigan St. (Big Ten) ,33,29-4 ,638
2,Iowa (Big Ten) ,33,14-19 ,602
3,TCU (Big 12) ,31,21-10 ,587
4,North Carolina (ACC) ,32,23-9 ,580
5,Purdue (Big Ten) ,34,28-6 ,568
6,Wichita St. (AAC) ,30,24-6 ,564
7,Creighton (Big East) ,31,21-10 ,560
8,Oakland (Horizon) ,33,19-14 ,553
9,UAB (C-USA) ,32,20-12 ,549
10,William & Mary (CAA) ,31,19-12 ,548
11,Duke (ACC) ,31,25-6 ,544
11,Louisiana (Sun Belt) ,31,26-5 ,544
13,Canisius (MAAC) ,32,21-11 ,542
14,Marshall (C-USA) ,31,21-10 ,540
15,Gonzaga (WCC) ,34,30-4 ,535
16,Samford (SoCon) ,32,10-22 ,530
17,Buffalo (MAC) ,31,23-8 ,529
17,Belmont (OVC) ,33,24-9 ,529
19,Portland St. (Big Sky) ,32,20-12 ,528
19,Kansas (Big 12) ,31,24-7 ,528
19,Virginia Tech (ACC) ,32,21-11 ,528
19,The Citadel (SoCon) ,32,11-21 ,528
23,Furman (SoCon) ,33,23-10 ,526
23,Iona (MAAC) ,33,20-13 ,526
25,Nevada (MWC) ,32,26-6 ,525
26,FGCU (ASUN) ,34,23-11 ,524
27,Northeastern (CAA) ,33,23-10 ,523
27,Villanova (Big East) ,31,27-4 ,523
27,UNLV (MWC) ,32,20-12 ,523
30,Georgetown (Big East) ,30,15-15 ,522
31,BYU (WCC) ,34,24-10 ,520
31,Loyola Chicago (MVC) ,33,28-5 ,520
33,Xavier (Big East) ,31,27-4 ,519
34,Central Ark. (Southland) ,32,17-15 ,518
34,Michigan (Big Ten) ,35,28-7 ,518
36,NC State (ACC) ,32,21-11 ,517
37,Saint Mary's (CA) (WCC) ,33,28-5 ,515
38,Northern Ky. (Horizon) ,31,22-9 ,512
38,UMBC (America East) ,33,23-10 ,512
40,Jacksonville St. (OVC) ,33,21-12 ,510
41,Elon (CAA) ,32,14-18 ,507
42,UT Arlington (Sun Belt) ,31,19-12 ,506
43,Lipscomb (ASUN) ,32,23-9 ,503
43,UNC Asheville (Big South) ,33,21-12 ,503
45,Yale (Ivy League) ,30,16-14 ,501
45,Bethune-Cookman (MEAC) ,32,18-14 ,501
45,Army West Point (Patriot) ,30,13-17 ,501
48,Cincinnati (AAC) ,31,27-4 ,500
48,ETSU (SoCon) ,34,25-9 ,500
50,Wyoming (MWC) ,32,20-12 ,498
50,Wofford (SoCon) ,33,21-12 ,498
52,Toledo (MAC) ,31,21-10 ,496
52,Oregon (Pac-12) ,32,21-11 ,496
54,Southern California (Pac-12) ,31,21-10 ,495
55,Massachusetts (Atlantic 10) ,32,13-19 ,493
56,Marquette (Big East) ,31,19-12 ,492
56,Seton Hall (Big East) ,31,21-10 ,492
56,New Mexico (MWC) ,31,17-14 ,492
56,Utah Valley (WAC) ,30,21-9 ,492
56,Bucknell (Patriot) ,34,25-9 ,492
61,Savannah St. (MEAC) ,31,15-16 ,491
61,N.C. A&T (MEAC) ,32,19-13 ,491
63,North Florida (ASUN) ,33,14-19 ,490
64,Texas A&M (SEC) ,31,20-11 ,489
64,Grand Canyon (WAC) ,30,20-10 ,489
64,Davidson (Atlantic 10) ,29,18-11 ,489
67,Fairfield (MAAC) ,33,17-16 ,487
67,UNCW (CAA) ,32,11-21 ,487
69,Arizona (Pac-12) ,31,24-7 ,482
70,N.C. Central (MEAC) ,31,16-15 ,481
70,Drake (MVC) ,32,16-16 ,481
70,Tennessee (SEC) ,30,23-7 ,481
73,UNCG (SoCon) ,34,27-7 ,480
73,VCU (Atlantic 10) ,31,17-14 ,480
75,UTRGV (WAC) ,31,15-16 ,478
76,Dayton (Atlantic 10) ,30,14-16 ,477
76,Hampton (MEAC) ,32,18-14 ,477
78,Liberty (Big South) ,34,20-14 ,476
79,Boston College (ACC) ,33,19-14 ,473
79,Florida St. (ACC) ,31,20-11 ,473
81,Ohio St. (Big Ten) ,32,24-8 ,472
82,West Virginia (Big 12) ,31,22-9 ,471
82,Southern Miss. (C-USA) ,32,15-17 ,471
82,Tennessee Tech (OVC) ,33,19-14 ,471
82,Stetson (ASUN) ,32,12-20 ,471
86,Mercer (SoCon) ,32,18-14 ,470
86,Fort Wayne (Summit League) ,32,18-14 ,470
88,Illinois St. (MVC) ,33,18-15 ,468
88,Ole Miss (SEC) ,32,12-20 ,468
88,Penn (Ivy League) ,30,22-8 ,468
88,Abilene Christian (Southland) ,31,16-15 ,468
92,Minnesota (Big Ten) ,32,15-17 ,467
92,Oklahoma (Big 12) ,31,18-13 ,467
94,Nicholls St. (Southland) ,31,21-10 ,466
94,Tulane (AAC) ,30,14-16 ,466
96,DePaul (Big East) ,31,11-20 ,465
