Rank,Team,GM,W-L,BLKS
1,Michigan St. (Big Ten) ,33,29-4 ,243
2,Ill.-Chicago (Horizon) ,32,17-15 ,224
3,Louisville (ACC) ,32,20-12 ,202
4,Marshall (C-USA) ,31,21-10 ,191
4,Eastern Mich. (MAC) ,31,20-11 ,191
6,Syracuse (ACC) ,33,20-13 ,184
7,Alabama (SEC) ,31,17-14 ,180
7,Texas A&M (SEC) ,31,20-11 ,180
9,Nebraska (Big Ten) ,32,22-10 ,179
10,Penn St. (Big Ten) ,34,21-13 ,176
11,Cincinnati (AAC) ,31,27-4 ,174
12,Georgia Tech (ACC) ,32,13-19 ,171
12,Purdue (Big Ten) ,34,28-6 ,171
14,St. John's (NY) (Big East) ,32,16-16 ,170
14,Oakland (Horizon) ,33,19-14 ,170
16,Auburn (SEC) ,31,25-6 ,169
17,Jacksonville St. (OVC) ,33,21-12 ,167
18,Duke (ACC) ,31,25-6 ,166
19,Minnesota (Big Ten) ,32,15-17 ,163
20,Mississippi St. (SEC) ,31,21-10 ,162
21,Central Ark. (Southland) ,32,17-15 ,161
22,Texas (Big 12) ,32,19-13 ,160
22,West Virginia (Big 12) ,31,22-9 ,160
22,Florida St. (ACC) ,31,20-11 ,160
25,George Washington (Atlantic 10) ,32,15-17 ,158
26,Washington (Pac-12) ,31,20-11 ,156
27,Kentucky (SEC) ,31,21-10 ,154
28,Bucknell (Patriot) ,34,25-9 ,151
29,Clemson (ACC) ,30,22-8 ,149
29,California (Pac-12) ,31,8-23 ,149
31,Georgia St. (Sun Belt) ,31,21-10 ,148
32,Georgia (SEC) ,31,17-14 ,147
32,Arkansas (SEC) ,31,21-10 ,147
34,Oklahoma (Big 12) ,31,18-13 ,146
34,ETSU (SoCon) ,34,25-9 ,146
34,Florida (SEC) ,31,20-11 ,146
34,Arizona (Pac-12) ,31,24-7 ,146
38,Winthrop (Big South) ,31,19-12 ,144
39,Incarnate Word (Southland) ,28,7-21 ,143
40,Oregon (Pac-12) ,32,21-11 ,141
40,Niagara (MAAC) ,32,19-13 ,141
42,Duquesne (Atlantic 10) ,31,16-15 ,140
42,Saint Louis (Atlantic 10) ,31,16-15 ,140
44,UNLV (MWC) ,32,20-12 ,139
44,Towson (CAA) ,32,18-14 ,139
44,Louisiana (Sun Belt) ,31,26-5 ,139
44,North Carolina (ACC) ,32,23-9 ,139
48,Ark.-Pine Bluff (SWAC) ,32,13-20 ,138
48,Eastern Ill. (OVC) ,31,12-19 ,138
48,Drexel (CAA) ,33,13-20 ,138
51,Maryland (Big Ten) ,32,19-13 ,137
52,Northwestern (Big Ten) ,32,15-17 ,136
52,Kansas (Big 12) ,31,24-7 ,136
52,Tennessee (SEC) ,30,23-7 ,136
52,Rutgers (Big Ten) ,34,15-19 ,136
56,UT Arlington (Sun Belt) ,31,19-12 ,135
