Rank,Team,GM,Orebs,Drebs,REB,RPG
1,North Carolina (ACC) ,32,449,916,1365,42.66
2,Bethune-Cookman (MEAC) ,32,424,922,1346,42.06
3,Duke (ACC) ,31,426,876,1302,42
4,UC Irvine (Big West) ,32,390,936,1326,41.44
5,Texas A&M (SEC) ,31,385,894,1279,41.26
6,New Mexico St. (WAC) ,30,376,857,1233,41.1
7,UNCW (CAA) ,32,447,863,1310,40.94
8,Michigan St. (Big Ten) ,33,365,983,1348,40.85
9,Wichita St. (AAC) ,30,366,856,1222,40.73
10,UNLV (MWC) ,32,376,914,1290,40.31
11,UTSA (C-USA) ,32,356,927,1283,40.09
12,Sacred Heart (NEC) ,31,374,865,1239,39.97
13,Gonzaga (WCC) ,34,376,981,1357,39.91
14,Southern U. (SWAC) ,32,422,843,1265,39.53
15,Rider (MAAC) ,31,406,816,1222,39.42
16,Houston Baptist (Southland) ,31,477,741,1218,39.29
16,Georgia (SEC) ,31,379,839,1218,39.29
16,Louisiana (Sun Belt) ,31,394,824,1218,39.29
19,Hampton (MEAC) ,32,348,909,1257,39.28
20,UT Arlington (Sun Belt) ,31,344,873,1217,39.26
21,Houston (AAC) ,30,366,810,1176,39.2
22,Cincinnati (AAC) ,31,409,805,1214,39.16
22,Kentucky (SEC) ,31,387,827,1214,39.16
24,Wagner (NEC) ,32,426,825,1251,39.09
25,UCLA (Pac-12) ,30,313,859,1172,39.07
26,Appalachian St. (Sun Belt) ,32,372,877,1249,39.03
27,McNeese (Southland) ,28,326,766,1092,39
28,South Dakota St. (Summit League) ,34,302,1023,1325,38.97
29,Lipscomb (ASUN) ,32,340,907,1247,38.97
30,Niagara (MAAC) ,32,382,863,1245,38.91
31,Coastal Caro. (Sun Belt) ,32,388,855,1243,38.84
32,Rutgers (Big Ten) ,34,447,869,1316,38.71
33,Grand Canyon (WAC) ,30,357,804,1161,38.7
34,Missouri St. (MVC) ,33,390,887,1277,38.7
35,Norfolk St. (MEAC) ,32,401,837,1238,38.69
36,Grambling (SWAC) ,31,378,821,1199,38.68
37,Portland St. (Big Sky) ,32,466,769,1235,38.59
38,Buffalo (MAC) ,31,364,832,1196,38.58
39,Fla. Atlantic (C-USA) ,31,357,838,1195,38.55
