Rank,Team,GM,W-L,Orebs,Drebs,REB
1,North Carolina (ACC) ,32,23-9 ,449,916,1365
2,Gonzaga (WCC) ,34,30-4 ,376,981,1357
3,Michigan St. (Big Ten) ,33,29-4 ,365,983,1348
4,Bethune-Cookman (MEAC) ,32,18-14 ,424,922,1346
5,UC Irvine (Big West) ,32,16-16 ,390,936,1326
6,South Dakota St. (Summit League) ,34,28-6 ,302,1023,1325
7,Rutgers (Big Ten) ,34,15-19 ,447,869,1316
8,UNCW (CAA) ,32,11-21 ,447,863,1310
9,Duke (ACC) ,31,25-6 ,426,876,1302
10,FGCU (ASUN) ,34,23-11 ,361,939,1300
11,LIU Brooklyn (NEC) ,34,18-16 ,364,931,1295
12,UNLV (MWC) ,32,20-12 ,376,914,1290
13,UTSA (C-USA) ,32,19-13 ,356,927,1283
14,Texas A&M (SEC) ,31,20-11 ,385,894,1279
15,Missouri St. (MVC) ,33,18-15 ,390,887,1277
16,South Dakota (Summit League) ,34,26-8 ,347,929,1276
17,Southern U. (SWAC) ,32,15-17 ,422,843,1265
18,UNCG (SoCon) ,34,27-7 ,405,857,1262
18,ETSU (SoCon) ,34,25-9 ,352,910,1262
20,Iowa (Big Ten) ,33,14-19 ,391,867,1258
21,Hampton (MEAC) ,32,18-14 ,348,909,1257
21,Jacksonville St. (OVC) ,33,21-12 ,374,883,1257
23,Bucknell (Patriot) ,34,25-9 ,318,935,1253
24,Wagner (NEC) ,32,23-9 ,426,825,1251
25,Appalachian St. (Sun Belt) ,32,15-17 ,372,877,1249
26,Lipscomb (ASUN) ,32,23-9 ,340,907,1247
27,Niagara (MAAC) ,32,19-13 ,382,863,1245
28,Coastal Caro. (Sun Belt) ,32,14-18 ,388,855,1243
29,Green Bay (Horizon) ,33,13-20 ,334,907,1241
30,Sacred Heart (NEC) ,31,10-21 ,374,865,1239
31,Norfolk St. (MEAC) ,32,14-18 ,401,837,1238
32,Syracuse (ACC) ,33,20-13 ,399,836,1235
32,Portland St. (Big Sky) ,32,20-12 ,466,769,1235
34,Wright St. (Horizon) ,34,25-9 ,345,889,1234
35,New Mexico St. (WAC) ,30,25-5 ,376,857,1233
36,UAB (C-USA) ,32,20-12 ,325,905,1230
36,Ill.-Chicago (Horizon) ,32,17-15 ,336,894,1230
38,Boston College (ACC) ,33,19-14 ,349,880,1229
39,Oral Roberts (Summit League) ,32,11-21 ,445,782,1227
40,Bowling Green (MAC) ,32,16-16 ,372,854,1226
41,Wichita St. (AAC) ,30,24-6 ,366,856,1222
41,Rider (MAAC) ,31,22-9 ,406,816,1222
43,Minnesota (Big Ten) ,32,15-17 ,371,850,1221
44,Towson (CAA) ,32,18-14 ,398,822,1220
45,Georgia (SEC) ,31,17-14 ,379,839,1218
45,Houston Baptist (Southland) ,31,6-25 ,477,741,1218
45,Louisiana (Sun Belt) ,31,26-5 ,394,824,1218
48,UT Arlington (Sun Belt) ,31,19-12 ,344,873,1217
49,Cincinnati (AAC) ,31,27-4 ,409,805,1214
49,Ole Miss (SEC) ,32,12-20 ,395,819,1214
49,Kentucky (SEC) ,31,21-10 ,387,827,1214
52,Penn St. (Big Ten) ,34,21-13 ,368,845,1213
53,Northern Colo. (Big Sky) ,32,21-11 ,316,889,1205
54,Lamar University (Southland) ,32,19-13 ,415,789,1204
55,Oakland (Horizon) ,33,19-14 ,327,876,1203
56,Notre Dame (ACC) ,33,20-13 ,345,855,1200
56,Colorado St. (MWC) ,32,11-21 ,375,825,1200
58,Grambling (SWAC) ,31,17-14 ,378,821,1199
59,North Texas (C-USA) ,32,15-17 ,362,836,1198
60,Drexel (CAA) ,33,13-20 ,369,828,1197
61,Buffalo (MAC) ,31,23-8 ,364,832,1196
62,Fla. Atlantic (C-USA) ,31,12-19 ,357,838,1195
63,Louisville (ACC) ,32,20-12 ,326,867,1193
64,New Hampshire (America East) ,31,10-21 ,357,834,1191
64,Baylor (Big 12) ,31,18-13 ,371,820,1191
64,Albany (NY) (America East) ,32,22-10 ,377,814,1191
64,Purdue (Big Ten) ,34,28-6 ,287,904,1191
68,Auburn (SEC) ,31,25-6 ,378,810,1188
69,Oklahoma St. (Big 12) ,32,19-13 ,397,790,1187
70,Oklahoma (Big 12) ,31,18-13 ,322,864,1186
71,Seton Hall (Big East) ,31,21-10 ,378,806,1184
71,Ga. Southern (Sun Belt) ,31,20-11 ,390,794,1184
71,The Citadel (SoCon) ,32,11-21 ,376,808,1184
71,South Carolina (SEC) ,32,17-15 ,397,787,1184
75,West Virginia (Big 12) ,31,22-9 ,440,742,1182
76,Xavier (Big East) ,31,27-4 ,302,878,1180
76,Jacksonville (ASUN) ,33,15-18 ,330,850,1180
76,Savannah St. (MEAC) ,31,15-16 ,410,770,1180
79,Robert Morris (NEC) ,33,16-17 ,392,787,1179
79,Florida St. (ACC) ,31,20-11 ,363,816,1179
79,Bradley (MVC) ,33,20-13 ,359,820,1179
82,Stanford (Pac-12) ,31,17-14 ,337,841,1178
82,Radford (Big South) ,34,22-12 ,393,785,1178
84,Houston (AAC) ,30,24-6 ,366,810,1176
85,Tennessee Tech (OVC) ,33,19-14 ,338,836,1174
86,Colorado (Pac-12) ,31,17-14 ,320,853,1173
87,Ohio St. (Big Ten) ,32,24-8 ,311,861,1172
87,UCLA (Pac-12) ,30,20-10 ,313,859,1172
89,Illinois St. (MVC) ,33,18-15 ,317,854,1171
90,Central Mich. (MAC) ,32,19-13 ,365,805,1170
90,UTRGV (WAC) ,31,15-16 ,362,808,1170
92,N.C. Central (MEAC) ,31,16-15 ,356,813,1169
92,Seattle U (WAC) ,31,19-12 ,331,838,1169
94,Montana St. (Big Sky) ,32,13-19 ,358,810,1168
95,Miami (OH) (MAC) ,32,16-16 ,318,849,1167
95,Central Ark. (Southland) ,32,17-15 ,326,841,1167
95,South Ala. (Sun Belt) ,32,14-18 ,301,866,1167
98,Nevada (MWC) ,32,26-6 ,300,866,1166
98,Michigan (Big Ten) ,35,28-7 ,300,866,1166
100,Ball St. (MAC) ,31,19-12 ,303,861,1164
100,Youngstown St. (Horizon) ,32,8-24 ,459,705,1164
