Rank,Team,GM,W-L,ST
1,SFA (Southland) ,32,26-6 ,337
2,Portland St. (Big Sky) ,33,20-13 ,327
3,Savannah St. (MEAC) ,32,15-17 ,301
3,The Citadel (SoCon) ,32,11-21 ,301
5,Nicholls St. (Southland) ,31,21-10 ,296
6,Eastern Mich. (MAC) ,32,21-11 ,284
7,Fordham (Atlantic 10) ,31,9-22 ,283
8,St. John's (NY) (Big East) ,33,16-17 ,282
9,Lamar University (Southland) ,32,19-13 ,280
10,Youngstown St. (Horizon) ,32,8-24 ,266
11,ETSU (SoCon) ,34,25-9 ,265
11,Furman (SoCon) ,33,23-10 ,265
13,West Virginia (Big 12) ,32,23-9 ,263
13,UNCG (SoCon) ,34,27-7 ,263
15,Fort Wayne (Summit League) ,32,18-14 ,261
15,Stony Brook (America East) ,32,13-19 ,261
17,Ark.-Pine Bluff (SWAC) ,32,13-20 ,257
18,Robert Morris (NEC) ,33,16-17 ,256
19,Western Caro. (SoCon) ,32,13-19 ,254
20,North Dakota (Big Sky) ,32,12-20 ,253
21,Miami (OH) (MAC) ,33,16-17 ,252
21,Tennessee Tech (OVC) ,33,19-14 ,252
21,Penn St. (Big Ten) ,34,21-13 ,252
24,Kansas St. (Big 12) ,32,22-10 ,251
25,Washington (Pac-12) ,31,20-11 ,250
25,Prairie View (SWAC) ,33,16-17 ,250
27,Abilene Christian (Southland) ,31,16-15 ,249
27,UMBC (America East) ,33,23-10 ,249
29,Southern Ill. (MVC) ,33,20-13 ,248
29,FGCU (ASUN) ,34,23-11 ,248
31,NJIT (ASUN) ,30,14-16 ,246
32,UTRGV (WAC) ,32,15-17 ,245
33,Montana (Big Sky) ,31,24-7 ,243
34,FIU (C-USA) ,32,14-18 ,242
35,UNC Asheville (Big South) ,33,21-12 ,241
36,NC State (ACC) ,32,21-11 ,240
36,Duke (ACC) ,32,26-6 ,240
36,Illinois (Big Ten) ,32,14-18 ,240
36,Rutgers (Big Ten) ,34,15-19 ,240
40,Syracuse (ACC) ,33,20-13 ,239
40,Grambling (SWAC) ,31,17-14 ,239
40,Texas Tech (Big 12) ,32,24-8 ,239
43,Richmond (Atlantic 10) ,31,12-19 ,238
43,New Mexico (MWC) ,32,18-14 ,238
45,Western Ky. (C-USA) ,32,23-9 ,236
45,SMU (AAC) ,32,17-15 ,236
47,Rider (MAAC) ,31,22-9 ,235
47,Valparaiso (MVC) ,32,15-17 ,235
47,LSU (SEC) ,31,17-14 ,235
47,Cincinnati (AAC) ,31,27-4 ,235
51,South Dakota (Summit League) ,34,26-8 ,234
52,Indiana St. (MVC) ,31,13-18 ,233
52,Louisiana (Sun Belt) ,31,26-5 ,233
54,Chicago St. (WAC) ,32,3-29 ,232
54,Southern Miss. (C-USA) ,33,16-17 ,232
56,Northern Ky. (Horizon) ,31,22-9 ,231
56,Auburn (SEC) ,31,25-6 ,231
56,Cleveland St. (Horizon) ,35,12-23 ,231
56,Louisville (ACC) ,33,20-13 ,231
56,Jackson St. (SWAC) ,31,12-20 ,231
61,Samford (SoCon) ,32,10-22 ,230
62,Boston U. (Patriot) ,31,15-16 ,229
62,Old Dominion (C-USA) ,30,24-6 ,229
64,James Madison (CAA) ,32,10-22 ,228
64,Stetson (ASUN) ,32,12-20 ,228
66,Georgia St. (Sun Belt) ,31,21-10 ,227
66,Rhode Island (Atlantic 10) ,29,23-6 ,227
68,Wright St. (Horizon) ,34,25-9 ,226
68,Jacksonville (ASUN) ,33,15-18 ,226
68,New Orleans (Southland) ,31,15-16 ,226
68,Green Bay (Horizon) ,33,13-20 ,226
72,St. Francis Brooklyn (NEC) ,31,13-18 ,225
73,Iona (MAAC) ,33,20-13 ,224
73,Charleston So. (Big South) ,31,15-16 ,224
75,Providence (Big East) ,32,20-12 ,223
76,High Point (Big South) ,30,14-16 ,222
76,UC Davis (Big West) ,31,22-9 ,222
78,Mt. St. Mary's (NEC) ,32,18-14 ,221
78,VMI (SoCon) ,30,9-21 ,221
78,Georgia Tech (ACC) ,32,13-19 ,221
81,Northeastern (CAA) ,33,23-10 ,220
81,UT Arlington (Sun Belt) ,31,19-12 ,220
81,Fairleigh Dickinson (NEC) ,31,13-18 ,220
81,Central Ark. (Southland) ,33,17-16 ,220
81,California (Pac-12) ,32,8-24 ,220
86,Loyola Chicago (MVC) ,33,28-5 ,219
86,Marshall (C-USA) ,32,22-10 ,219
86,Gonzaga (WCC) ,34,30-4 ,219
86,Oregon (Pac-12) ,33,22-11 ,219
86,Butler (Big East) ,32,20-12 ,219
86,Michigan (Big Ten) ,35,28-7 ,219
92,Loyola Maryland (Patriot) ,31,9-22 ,218
92,Oklahoma St. (Big 12) ,33,19-14 ,218
92,BYU (WCC) ,34,24-10 ,218
92,Long Beach St. (Big West) ,33,15-18 ,218
92,Ill.-Chicago (Horizon) ,32,17-15 ,218
92,Longwood (Big South) ,33,7-26 ,218
92,Canisius (MAAC) ,32,21-11 ,218
