Rank,Team,GM,W-L,Opp TO,TO,Ratio
1,West Virginia (Big 12) ,32,23-9 ,541,365,5.5
2,Rhode Island (Atlantic 10) ,29,23-6 ,472,314,5.4
3,Portland St. (Big Sky) ,33,20-13 ,596,418,5.4
4,SFA (Southland) ,32,26-6 ,648,502,4.6
5,Old Dominion (C-USA) ,30,24-6 ,444,313,4.4
6,New Mexico (MWC) ,32,18-14 ,536,397,4.3
7,St. John's (NY) (Big East) ,33,16-17 ,535,393,4.3
8,Florida (SEC) ,31,20-11 ,438,305,4.3
9,Southern Miss. (C-USA) ,33,16-17 ,465,325,4.2
10,Arizona St. (Pac-12) ,31,20-11 ,463,332,4.2
11,Virginia (ACC) ,31,29-2 ,398,271,4.1
12,Savannah St. (MEAC) ,32,15-17 ,576,448,4
13,Lamar University (Southland) ,32,19-13 ,545,420,3.9
14,Michigan (Big Ten) ,35,28-7 ,450,320,3.7
15,Jackson St. (SWAC) ,31,12-20 ,465,352,3.6
16,Illinois (Big Ten) ,32,14-18 ,543,427,3.6
17,FIU (C-USA) ,32,14-18 ,467,355,3.5
18,Cincinnati (AAC) ,31,27-4 ,470,363,3.5
19,Georgia St. (Sun Belt) ,31,21-10 ,455,350,3.4
20,Ga. Southern (Sun Belt) ,31,20-11 ,454,350,3.4
21,Fort Wayne (Summit League) ,32,18-14 ,489,382,3.3
22,South Dakota (Summit League) ,34,26-8 ,489,378,3.3
23,Furman (SoCon) ,33,23-10 ,489,382,3.2
23,Prairie View (SWAC) ,33,16-17 ,552,445,3.2
25,Butler (Big East) ,32,20-12 ,456,357,3.1
26,Arkansas (SEC) ,31,21-10 ,438,344,3
27,Western Mich. (MAC) ,32,17-15 ,440,343,3
28,Nevada (MWC) ,33,27-6 ,428,328,3
29,Kansas St. (Big 12) ,32,22-10 ,460,365,3
29,Stetson (ASUN) ,32,12-20 ,445,350,3
31,St. Bonaventure (Atlantic 10) ,30,24-6 ,439,350,3
32,Southern California (Pac-12) ,32,22-10 ,426,332,2.9
33,Auburn (SEC) ,31,25-6 ,473,382,2.9
33,Montana (Big Sky) ,31,24-7 ,486,395,2.9
35,Villanova (Big East) ,32,28-4 ,423,331,2.9
36,NC State (ACC) ,32,21-11 ,480,390,2.8
37,Texas Tech (Big 12) ,32,24-8 ,492,404,2.8
38,Mt. St. Mary's (NEC) ,32,18-14 ,438,351,2.7
39,UMBC (America East) ,33,23-10 ,491,407,2.5
40,SMU (AAC) ,32,17-15 ,450,371,2.5
41,Charleston So. (Big South) ,31,15-16 ,484,408,2.5
41,UC Davis (Big West) ,31,22-9 ,483,407,2.5
43,St. Francis Brooklyn (NEC) ,31,13-18 ,462,390,2.3
43,UMKC (WAC) ,31,10-21 ,470,398,2.3
45,UTRGV (WAC) ,32,15-17 ,504,431,2.3
46,Rutgers (Big Ten) ,34,15-19 ,473,396,2.3
47,Col. of Charleston (CAA) ,33,26-7 ,391,318,2.2
48,High Point (Big South) ,30,14-16 ,441,375,2.2
49,Wright St. (Horizon) ,34,25-9 ,519,446,2.1
50,Colgate (Patriot) ,32,19-13 ,420,352,2.1
51,Saint Joseph's (Atlantic 10) ,30,15-15 ,361,298,2.1
52,Saint Francis (PA) (NEC) ,30,18-12 ,409,347,2.1
53,LSU (SEC) ,31,17-14 ,421,357,2.1
53,Rider (MAAC) ,31,22-9 ,476,412,2.1
55,Grand Canyon (WAC) ,30,20-10 ,464,403,2
56,The Citadel (SoCon) ,32,11-21 ,542,477,2
57,Iona (MAAC) ,33,20-13 ,452,385,2
58,Nicholls St. (Southland) ,31,21-10 ,536,474,2
58,Temple (AAC) ,31,17-14 ,396,334,2
60,Northern Ky. (Horizon) ,31,22-9 ,444,384,1.9
61,San Diego St. (MWC) ,30,20-10 ,414,356,1.9
61,Tennessee (SEC) ,30,23-7 ,424,366,1.9
63,Austin Peay (OVC) ,32,18-14 ,517,457,1.9
64,Washington (Pac-12) ,31,20-11 ,473,417,1.8
