Rank,Team,W,L,Pct
1,Virginia (ACC) ,29,2,93.5
2,Gonzaga (WCC) ,30,4,88.2
3,Michigan St. (Big Ten) ,29,4,87.9
4,Villanova (Big East) ,28,4,87.5
4,Xavier (Big East) ,28,4,87.5
6,Cincinnati (AAC) ,27,4,87.1
7,Saint Mary's (CA) (WCC) ,28,5,84.8
7,Loyola Chicago (MVC) ,28,5,84.8
9,Murray St. (OVC) ,26,5,83.9
9,Louisiana (Sun Belt) ,26,5,83.9
9,New Mexico St. (WAC) ,26,5,83.9
12,South Dakota St. (Summit League) ,28,6,82.4
12,Purdue (Big Ten) ,28,6,82.4
14,Vermont (America East) ,27,6,81.8
14,Nevada (MWC) ,27,6,81.8
16,SFA (Southland) ,26,6,81.3
16,Duke (ACC) ,26,6,81.3
18,Auburn (SEC) ,25,6,80.6
19,Michigan (Big Ten) ,28,7,80
19,Old Dominion (C-USA) ,24,6,80
19,St. Bonaventure (Atlantic 10) ,24,6,80
19,Houston (AAC) ,24,6,80
19,Wichita St. (AAC) ,24,6,80
24,UNCG (SoCon) ,27,7,79.4
25,Rhode Island (Atlantic 10) ,23,6,79.3
26,Col. of Charleston (CAA) ,26,7,78.8
27,Kansas (Big 12) ,25,7,78.1
27,Arizona (Pac-12) ,25,7,78.1
29,Montana (Big Sky) ,24,7,77.4
29,Middle Tenn. (C-USA) ,24,7,77.4
31,Tennessee (SEC) ,23,7,76.7
32,South Dakota (Summit League) ,26,8,76.5
33,Buffalo (MAC) ,24,8,75
33,Texas Tech (Big 12) ,24,8,75
33,Ohio St. (Big Ten) ,24,8,75
36,Boise St. (MWC) ,23,8,74.2
36,Clemson (ACC) ,23,8,74.2
36,UC Santa Barbara (Big West) ,23,8,74.2
39,Bucknell (Patriot) ,25,9,73.5
39,ETSU (SoCon) ,25,9,73.5
39,Wright St. (Horizon) ,25,9,73.5
42,Miami (FL) (ACC) ,22,8,73.3
42,Penn (Ivy League) ,22,8,73.3
44,Belmont (OVC) ,24,9,72.7
45,Wagner (NEC) ,23,9,71.9
45,West Virginia (Big 12) ,23,9,71.9
45,Lipscomb (ASUN) ,23,9,71.9
45,North Carolina (ACC) ,23,9,71.9
45,Western Ky. (C-USA) ,23,9,71.9
50,Idaho (Big Sky) ,22,9,71
50,UC Davis (Big West) ,22,9,71
50,Utah Valley (WAC) ,22,9,71
50,Northern Ky. (Horizon) ,22,9,71
50,Rider (MAAC) ,22,9,71
55,BYU (WCC) ,24,10,70.6
56,Furman (SoCon) ,23,10,69.7
56,Northeastern (CAA) ,23,10,69.7
56,UMBC (America East) ,23,10,69.7
59,Albany (NY) (America East) ,22,10,68.8
59,Kansas St. (Big 12) ,22,10,68.8
59,Marshall (C-USA) ,22,10,68.8
59,Toledo (MAC) ,22,10,68.8
59,Nebraska (Big Ten) ,22,10,68.8
59,Southern California (Pac-12) ,22,10,68.8
59,Mississippi St. (SEC) ,22,10,68.8
66,Arkansas (SEC) ,21,10,67.7
66,Georgia St. (Sun Belt) ,21,10,67.7
66,Kentucky (SEC) ,21,10,67.7
66,Nicholls St. (Southland) ,21,10,67.7
66,Southeastern La. (Southland) ,21,10,67.7
66,UCLA (Pac-12) ,21,10,67.7
72,FGCU (ASUN) ,23,11,67.6
73,Northern Colo. (Big Sky) ,22,11,66.7
73,Oregon (Pac-12) ,22,11,66.7
73,San Diego St. (MWC) ,20,10,66.7
73,Grand Canyon (WAC) ,20,10,66.7
77,Canisius (MAAC) ,21,11,65.6
77,Fresno St. (MWC) ,21,11,65.6
77,Creighton (Big East) ,21,11,65.6
77,TCU (Big 12) ,21,11,65.6
77,Virginia Tech (ACC) ,21,11,65.6
77,NC State (ACC) ,21,11,65.6
77,Seton Hall (Big East) ,21,11,65.6
77,Eastern Mich. (MAC) ,21,11,65.6
85,Radford (Big South) ,22,12,64.7
86,Florida (SEC) ,20,11,64.5
86,Florida St. (ACC) ,20,11,64.5
86,Washington (Pac-12) ,20,11,64.5
86,Weber St. (Big Sky) ,20,11,64.5
86,Arizona St. (Pac-12) ,20,11,64.5
86,Ga. Southern (Sun Belt) ,20,11,64.5
92,Jacksonville St. (OVC) ,21,12,63.6
92,UNC Asheville (Big South) ,21,12,63.6
92,Wofford (SoCon) ,21,12,63.6
95,Tulsa (AAC) ,19,11,63.3
95,Utah (Pac-12) ,19,11,63.3
97,Butler (Big East) ,20,12,62.5
97,Missouri (SEC) ,20,12,62.5
97,Texas A&M (SEC) ,20,12,62.5
97,Memphis (AAC) ,20,12,62.5
97,Seattle U (WAC) ,20,12,62.5
97,Navy (Patriot) ,20,12,62.5
97,Providence (Big East) ,20,12,62.5
104,Davidson (Atlantic 10) ,18,11,62.1
104,Cal St. Fullerton (Big West) ,18,11,62.1
106,Penn St. (Big Ten) ,21,13,61.8
107,Hofstra (CAA) ,19,12,61.3
107,UT Arlington (Sun Belt) ,19,12,61.3
107,Winthrop (Big South) ,19,12,61.3
107,UCF (AAC) ,19,12,61.3
107,William & Mary (CAA) ,19,12,61.3
112,UAB (C-USA) ,20,13,60.6
112,Bradley (MVC) ,20,13,60.6
112,Iona (MAAC) ,20,13,60.6
112,Louisville (ACC) ,20,13,60.6
112,Wyoming (MWC) ,20,13,60.6
112,Syracuse (ACC) ,20,13,60.6
112,N.C. A&T (MEAC) ,20,13,60.6
112,Portland St. (Big Sky) ,20,13,60.6
112,UNLV (MWC) ,20,13,60.6
112,Southern Ill. (MVC) ,20,13,60.6
122,Saint Francis (PA) (NEC) ,18,12,60
123,Ball St. (MAC) ,19,13,59.4
